name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
ReachLocal,http://www.reachlocal.com,Advertising|Internet Marketing|Sales and Marketing|Semantic Search|SEO|Social Media|Web Presence Management," 127,335,670 ",ipo,USA,CA,Los Angeles,Woodland Hills,8,2004,2004-03-01,2015-05-06
SmartDrive Systems,http://smartdrive.net,Analytics," 178,149,887 ",operating,USA,CA,San Diego,San Diego,6,2004,2007-01-23,2015-03-30
Spinal Modulation,http://www.spinalmodulation.com,Health Care|Medical Devices," 111,270,388 ",operating,USA,CA,SF Bay Area,Menlo Park,5,2004,2006-01-24,2013-06-07
Spot Runner,http://www.spotrunner.com,Advertising|Television," 101,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,3,2004,2006-01-01,2008-05-07
Stoke,http://www.stoke.com,Mobile," 122,609,480 ",operating,USA,CA,SF Bay Area,Santa Clara,11,2004,2004-01-01,2014-02-02
Xirrus,http://www.xirrus.com,Cloud Management|Mobile," 112,724,312 ",operating,USA,CA,Los Angeles,Thousand Oaks,7,2004,2006-01-30,2015-03-13
Alvine Pharmaceuticals,http://www.alvinepharma.com,Biotechnology," 138,012,000 ",operating,USA,CA,SF Bay Area,San Carlos,6,2005,2006-09-06,2013-05-14
aTyr Pharma,http://www.atyrpharma.com,Biotechnology," 180,500,000 ",ipo,USA,CA,San Diego,San Diego,6,2005,2007-04-18,2015-03-31
Automattic,http://automattic.com,Blogging Platforms|Content|Curated Web|Forums|Web CMS," 317,300,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2005,2005-10-01,2014-05-05
Box,http://www.box.co,Cloud Computing|File Sharing|Flash Storage|SaaS|Storage|Web Hosting," 558,950,000 ",ipo,USA,CA,SF Bay Area,Los Altos,11,2005,2005-09-01,2014-07-01
C3 Jian,http://www.c3-jian.com,Biotechnology|Health Diagnostics," 105,000,000 ",operating,USA,CA,Los Angeles,Inglewood,3,2005,2010-01-05,2014-03-17
Chobani,http://www.chobani.com,Food Processing|Manufacturing|Specialty Foods," 750,000,000 ",operating,USA,NY,Elmira,Norwich,1,2005,2014-04-24,2014-04-24
Conduit,http://www.conduit.com,Cloud Computing|Internet|Software," 109,800,000 ",operating,USA,NY,New York City,New York,3,2005,2006-07-01,2012-04-12
Gazillion Entertainment,http://gazillion.com,Games," 103,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,4,2005,2010-11-05,2013-04-01
Gynesonics,http://www.gynesonics.com,Health Care," 117,296,441 ",operating,USA,CA,SF Bay Area,Redwood City,10,2005,2007-01-24,2015-11-17
Mobilitie,http://www.mobilitie.com,Mobile," 425,000,000 ",operating,USA,CA,Anaheim,Newport Beach,2,2005,2013-02-19,2015-11-10
moka5,http://www.moka5.com,Enterprise Software|Software," 104,300,012 ",operating,USA,CA,SF Bay Area,Redwood City,8,2005,2006-05-17,2014-10-22
MyoScience,http://www.myoscience.com,Biotechnology," 107,400,000 ",operating,USA,CA,SF Bay Area,Redwood City,4,2005,2008-07-11,2013-09-12
obopay,http://obopay.com,Mobile," 144,760,181 ",operating,USA,CA,SF Bay Area,Redwood City,6,2005,2006-03-08,2011-07-25
Oportun,http://www.progressfin.com,Consumer Lending|Financial Services," 250,300,000 ",operating,USA,CA,SF Bay Area,Menlo Park,9,2005,2006-01-01,2015-02-11
Palo Alto Networks,http://www.paloaltonetworks.com,Communications Hardware|Computers|Network Security|Security," 329,000,000 ",ipo,USA,CA,SF Bay Area,Santa Clara,5,2005,2006-01-01,2012-07-09
Practice Fusion,http://www.practicefusion.com,Electronic Health Records|Health and Wellness|Health Care|Physicians," 157,519,998 ",operating,USA,CA,SF Bay Area,San Francisco,12,2005,2009-03-01,2014-10-20
Prysm,http://www.prysm.com/,Displays|Hardware + Software," 147,558,930 ",operating,USA,CA,SF Bay Area,San Jose,3,2005,2010-01-05,2011-10-27
RockYou,http://www.rockyou.com,Facebook Applications|Games|Messaging|Mobile|Online Gaming|Online Video Advertising|Web Tools," 172,725,336 ",operating,USA,CA,SF Bay Area,San Francisco,12,2005,2006-05-01,2015-03-02
Solarflare Communications,http://www.solarflare.com,Enterprise Software," 242,948,825 ",operating,USA,CA,Anaheim,Irvine,19,2005,2005-02-28,2015-01-05
Solexel,http://solexel.com,Clean Technology," 223,920,614 ",operating,USA,CA,SF Bay Area,Milpitas,7,2005,2012-04-01,2015-08-16
Talend,http://www.talend.com,Big Data|Cloud Computing|Data Integration|Enterprise Software|Software," 101,580,000 ",operating,USA,CA,SF Bay Area,Redwood City,6,2005,2006-06-01,2013-12-11
Tremor Video,http://tremorvideo.com,Advertising|Digital Media|Online Video Advertising," 116,400,000 ",ipo,USA,NY,New York City,New York,8,2005,2006-03-01,2011-09-12
TRUECar,http://www.truecar.com,Automotive|Public Transportation," 283,165,000 ",ipo,USA,CA,Los Angeles,Santa Monica,7,2005,2005-02-28,2013-12-12
Vigilant Solutions,http://vigilantsolutions.com/,Law Enforcement|Licensing," 113,214,186 ",operating,USA,CA,SF Bay Area,Livermore,2,2005,2014-08-27,2015-04-23
Violin Memory,http://www.violin-memory.com/,Semiconductors|Storage|Technology," 187,884,937 ",ipo,USA,CA,SF Bay Area,Santa Clara,7,2005,2009-06-03,2013-02-14
Workday,http://www.workday.com,Colleges|Enterprise Software|Finance|FinTech|Human Resources|SaaS|Technology|Web Development," 175,000,000 ",ipo,USA,CA,SF Bay Area,Pleasanton,3,2005,2005-01-01,2011-10-24
23andMe,http://23andme.com,Biotechnology|Search," 227,049,900 ",operating,USA,CA,SF Bay Area,Mountain View,8,2006,2005-11-02,2015-07-03
Aerohive Networks,http://www.aerohive.com,Mobile|Technology," 104,952,382 ",ipo,USA,CA,SF Bay Area,Sunnyvale,6,2006,2006-07-01,2013-07-09
Anaplan,http://www.anaplan.com,Cloud Computing|Enterprise Software," 144,400,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,2006,2012-01-19,2014-05-13
Appirio,http://www.appirio.com,Cloud Computing|Enterprise Software|SaaS|Software," 111,700,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2006,2008-03-13,2015-04-16
Apttus,http://www.apttus.com,CRM|SaaS|Software," 186,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,3,2006,2013-09-17,2015-09-01
Avalanche Technology,http://www.avalanche-technology.com,Flash Storage," 109,772,047 ",operating,USA,CA,SF Bay Area,Fremont,7,2006,2007-01-01,2015-12-02
Axcient,https://axcient.com,Archiving|Business Services|Cloud Computing|Enterprise Software|Flash Storage|Homeland Security|Storage|Virtualization," 113,500,000 ",operating,USA,CA,SF Bay Area,Mountain View,7,2006,2008-09-01,2015-02-18
Bill.com,http://www.bill.com,Finance|SaaS," 129,100,000 ",operating,USA,CA,SF Bay Area,Palo Alto,8,2006,2007-01-01,2015-02-11
BuzzFeed,http://www.buzzfeed.com,Entertainment|Internet|Media|News," 296,300,000 ",operating,USA,NY,New York City,New York,6,2006,2008-07-09,2015-08-18
Coupa Software,http://www.coupa.com,Cloud Infrastructure|Enterprise Software|Procurement|SaaS," 169,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,7,2006,2007-03-13,2015-06-01
Eventbrite,http://www.eventbrite.com,Event Management|Events|Online Reservations|Ticketing," 199,575,000 ",operating,USA,CA,SF Bay Area,San Francisco,10,2006,2006-11-01,2014-03-13
GainSpan,http://www.gainspan.com,Semiconductors," 118,188,900 ",operating,USA,CA,SF Bay Area,San Jose,9,2006,2006-09-01,2014-12-31
Gigya,http://www.gigya.com,Enterprise Software|Identity Management," 105,800,000 ",operating,USA,CA,SF Bay Area,Mountain View,7,2006,2007-02-01,2014-11-04
iRhythm Technologies,http://www.irhythmtech.com,Biotechnology," 133,171,781 ",operating,USA,CA,SF Bay Area,San Francisco,11,2006,2007-02-08,2015-03-17
Kabam,http://www.kabam.com,Games|Networking|Social Games|Social Media|Web Development," 244,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2006,2007-09-01,2014-07-31
Kaltura,http://corp.kaltura.com,Analytics|Apps|Big Data|Cloud Computing|Collaboration|Content|Developer Tools|Education|Enterprise Software|Media|Mobile|Music|Open Source|SaaS|Software|Video|Video Editing|Web CMS|Web Tools," 116,100,000 ",operating,USA,NY,New York City,New York,6,2006,2007-05-01,2014-02-11
Marin Software,http://www.marinsoftware.com/index.html,Advertising|Search Marketing|Technology," 100,268,406 ",ipo,USA,CA,SF Bay Area,San Francisco,9,2006,2006-10-05,2013-03-05
Marketo,http://www.marketo.com,Analytics|B2B|Brand Marketing|Lead Generation|Lead Management|Optimization|Software," 108,400,000 ",ipo,USA,CA,SF Bay Area,San Mateo,6,2006,2006-10-01,2011-11-16
MuleSoft,http://www.mulesoft.com,Enterprise Software," 259,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2006,2006-10-01,2015-05-19
Presidio Pharmaceuticals,http://www.presidiopharma.com,Biotechnology," 100,183,473 ",operating,USA,CA,SF Bay Area,San Francisco,6,2006,2007-08-29,2014-06-16
Prosper,http://www.prosper.com,Credit|Crowdfunding|Finance|FinTech|Marketplaces|Peer-to-Peer|Personal Finance," 354,900,000 ",operating,USA,CA,SF Bay Area,San Francisco,12,2006,2005-04-01,2015-04-30
Quantenna Communications,http://www.quantenna.com,Semiconductors|Wireless," 166,153,980 ",operating,USA,CA,SF Bay Area,Fremont,11,2006,2006-05-31,2014-12-17
Silicor Materials,http://www.silicormaterials.com,Manufacturing," 345,007,997 ",operating,USA,CA,SF Bay Area,San Jose,9,2006,2006-06-01,2015-09-16
Siva Power,http://www.sivapower.com/,Clean Technology," 115,000,000 ",operating,USA,CA,SF Bay Area,San Jose,8,2006,2007-08-30,2015-01-29
Soft Machines,http://smachines.com,Semiconductors," 235,687,795 ",operating,USA,CA,SF Bay Area,Santa Clara,6,2006,2009-08-05,2015-01-20
SolarCity,http://www.solarcity.com,Clean Technology|Construction," 1,158,040,000 ",ipo,USA,CA,SF Bay Area,San Mateo,14,2006,2006-09-15,2015-11-18
Stion,http://www.stion.com,Clean Technology," 220,000,000 ",operating,USA,CA,SF Bay Area,San Jose,4,2006,2007-06-27,2012-12-12
Tillster,http://tillster.com/,Enterprise Software|Mobile Commerce|Mobile Payments," 100,300,177 ",operating,USA,CA,San Diego,San Diego,10,2006,2003-08-22,2013-06-26
Trion Worlds,http://www.trionworlds.com,Games," 185,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,3,2006,2007-07-09,2012-01-19
TubeMogul,http://www.tubemogul.com,Advertising|Analytics|Content Syndication|Internet|Online Video Advertising|Software|Video," 136,057,047 ",ipo,USA,CA,SF Bay Area,Emeryville,8,2006,2007-10-15,2015-06-11
Turn,http://www.turn.com,Advertising|Software," 163,500,000 ",operating,USA,CA,SF Bay Area,Redwood City,8,2006,2005-01-01,2014-12-12
Twitter,http://www.twitter.com/,Information Services|Messaging|MicroBlogging|Service Providers|SMS|Software," 1,160,166,511 ",ipo,USA,CA,SF Bay Area,San Francisco,8,2006,2007-07-01,2011-09-08
Vice Media,http://www.vice.com,News|Television|Video|Video Streaming," 570,000,000 ",operating,USA,NY,New York City,Brooklyn,3,2006,2013-08-01,2014-09-04
View,http://www.viewglass.com,Clean Technology|Hardware + Software|Nanotechnology|Solar," 460,244,466 ",operating,USA,CA,SF Bay Area,Milpitas,11,2006,2009-06-11,2015-08-13
Yext,http://www.yext.com,Advertising|Cloud Data Services|Local|Mobile|SaaS|Sales and Marketing|Software," 115,750,000 ",operating,USA,NY,New York City,New York,6,2006,2006-11-01,2014-06-04
Zogenix,http://www.zogenix.com,Biotechnology|Health Care," 167,062,156 ",ipo,USA,CA,San Diego,San Diego,6,2006,2006-08-28,2010-07-13
Zosano Pharma,http://zosanopharma.com,Biotechnology," 158,688,887 ",ipo,USA,CA,SF Bay Area,Fremont,9,2006,2007-11-15,2015-02-03
3-V Biosciences,http://www.3vbio.com,Biotechnology," 128,477,567 ",operating,USA,CA,SF Bay Area,Menlo Park,7,2007,2007-05-22,2015-03-17
AlienVault,http://www.alienvault.com,Security," 118,400,035 ",operating,USA,CA,SF Bay Area,San Mateo,8,2007,2010-06-16,2015-08-19
AppNexus,http://www.appnexus.com,Advertising|Internet|Internet Marketing," 288,171,856 ",operating,USA,NY,New York City,New York,8,2007,2007-12-27,2015-04-15
Ardelyx,http://www.ardelyx.com,Biotechnology," 112,785,321 ",ipo,USA,CA,SF Bay Area,Fremont,3,2007,2010-11-16,2015-06-22
Astute Medical,http://www.astutemedical.com,Biotechnology|Health Care|Health Diagnostics," 126,134,082 ",operating,USA,CA,San Diego,San Diego,7,2007,2008-05-01,2015-10-14
Atieva,http://www.atieva.com,Automotive|Electric Vehicles|Software," 131,000,000 ",operating,USA,CA,SF Bay Area,Menlo Park,3,2007,2009-12-17,2014-05-21
Auction.com,http://www.auction.com,Real Estate," 141,750,000 ",operating,USA,CA,Anaheim,Irvine,3,2007,2012-08-17,2014-03-05
Auris Surgical Robotics,http://aurisrobotics.com/,Biotechnology," 184,052,388 ",operating,USA,CA,SF Bay Area,Redwood City,3,2007,2009-06-04,2015-09-23
Aurora Biofuels,http://www.aurorainc.com,Clean Technology," 101,718,192 ",operating,USA,CA,SF Bay Area,Hayward,7,2007,2007-01-24,2013-04-01
Autonomic Technologies,http://www.ati-spg.com,Health Care," 136,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,5,2007,2008-01-14,2015-06-25
Avinger,http://www.avinger.com,Health Care," 125,796,572 ",ipo,USA,CA,SF Bay Area,Redwood City,5,2007,2011-01-11,2014-09-15
Biz2Credit,http://www.biz2credit.com,Finance," 250,000,000 ",operating,USA,NY,New York City,New York,1,2007,2014-12-29,2014-12-29
Bonobos,http://www.bonobos.com,E-Commerce|Fashion|Retail|Shoes," 127,649,865 ",operating,USA,NY,New York City,New York,7,2007,2008-09-01,2014-07-02
Brash Entertainment,http://www.brashent.com,Games," 400,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,2007,2007-06-03,2007-06-03
Carestream,http://www.carestream.com,Biotechnology," 2,400,000,000 ",operating,USA,NY,"Rochester, New York",Rochester,1,2007,2013-06-12,2013-06-12
"ChargePoint, Inc.",http://www.chargepoint.com,Clean Technology," 113,993,598 ",operating,USA,CA,SF Bay Area,Campbell,7,2007,2009-01-26,2014-07-29
Chegg,http://www.chegg.com,Consumers|Education|Online Rental|Textbooks," 252,303,692 ",ipo,USA,CA,SF Bay Area,Santa Clara,10,2007,2007-01-01,2012-04-01
Chrome River Technologies,http://www.chromeriver.com,SaaS|Software," 120,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,3,2007,2012-05-01,2015-06-30
Complete Genomics,http://www.completegenomics.com,Biotechnology|Life Sciences," 104,490,061 ",ipo,USA,CA,SF Bay Area,Mountain View,4,2007,2006-03-28,2010-08-19
Credit Karma,http://www.creditkarma.com,Credit|Finance|Personal Finance," 368,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2007,2008-10-15,2015-06-23
Delos,http://www.Delos.com,Health and Wellness|Health Care Information Technology|Technology," 108,000,000 ",operating,USA,NY,New York City,New York,1,2007,2015-10-21,2015-10-21
Dropbox,http://www.dropbox.com,Cloud Data Services|Storage|Web Hosting," 1,107,215,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2007,2007-06-01,2014-04-06
eSolar,http://www.esolar.com,Clean Technology|Green," 192,000,000 ",operating,USA,CA,Los Angeles,Pasadena,3,2007,2008-04-21,2013-09-17
Evernote,http://www.evernote.com,Business Productivity|Productivity Software|Software," 290,000,000 ",operating,USA,CA,SF Bay Area,Redwood City,11,2007,2006-03-01,2014-11-09
Fulcrum Bioenergy,http://www.fulcrum-bioenergy.com,Clean Technology," 119,000,000 ",operating,USA,CA,SF Bay Area,Pleasanton,4,2007,2008-04-28,2015-07-01
Gilt Groupe,http://www.gilt.com,Design|E-Commerce|Fashion|Furniture|Lifestyle|Shopping|Travel," 286,000,000 ",operating,USA,NY,New York City,New York,7,2007,2007-11-01,2015-02-16
Glassdoor,https://www.glassdoor.com/index.htm,Career Management|Employment|Recruiting|Social Media," 161,500,000 ",operating,USA,CA,SF Bay Area,Mill Valley,6,2007,2008-03-27,2015-01-06
GoodData,http://www.gooddata.com,Analytics|Business Intelligence|Collaboration|Enterprise Software|SaaS," 101,199,993 ",operating,USA,CA,SF Bay Area,San Francisco,9,2007,2008-07-23,2014-09-10
HeartFlow,http://heartflow.com,Biotechnology|Health Diagnostics," 172,715,918 ",operating,USA,CA,SF Bay Area,Redwood City,5,2007,2010-04-19,2015-02-13
InMobi,http://www.inmobi.com,Advertising|Mobile," 320,600,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2007,2007-01-01,2015-09-29
Lending Club,https://lendingclub.com,Credit|Finance|Finance Technology|FinTech|Personal Finance," 392,230,000 ",ipo,USA,CA,SF Bay Area,San Francisco,13,2007,2007-05-01,2014-07-15
Lookout,http://www.lookout.com,Cyber Security|Mobile|Security," 282,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,2007,2009-03-11,2015-02-01
MediaMath,http://www.mediamath.com,Advertising|Internet|Technology," 207,500,000 ",operating,USA,NY,New York City,New York,6,2007,2008-03-05,2014-06-03
MobileIron,http://www.mobileiron.com,Apps|Mobile|Mobile Devices|Mobile Security," 144,800,000 ",ipo,USA,CA,SF Bay Area,Mountain View,8,2007,2007-09-24,2013-10-10
Mobile Iron,http://mobileiron.com,Mobile," 147,584,247 ",operating,USA,CA,SF Bay Area,Mountain View,5,2007,2009-08-13,2013-08-29
MongoDB,http://www.mongodb.com,Cloud Computing|Databases|Open Source|PaaS|Software," 311,100,000 ",operating,USA,NY,New York City,New York,8,2007,2008-07-21,2015-01-09
NantHealth,http://nanthealth.com,Health and Wellness|Health Diagnostics," 680,000,000 ",operating,USA,CA,Los Angeles,Culver City,5,2007,2012-10-25,2015-07-01
NGM Biopharmaceuticals,http://www.ngmbio.com,Biotechnology|Medical," 333,988,996 ",operating,USA,CA,SF Bay Area,South San Francisco,7,2007,2008-02-12,2015-03-26
OnDeck,http://www.ondeck.com,Credit|Finance|FinTech," 538,000,000 ",ipo,USA,NY,New York City,New York,11,2007,2006-01-01,2014-03-06
One Medical Group,http://www.onemedical.com,Doctors|Health Care|Medical," 116,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2007,2007-01-01,2014-04-17
PaxVax,http://paxvax.com,Biotechnology," 129,606,472 ",operating,USA,CA,SF Bay Area,Menlo Park,7,2007,2009-11-09,2014-07-28
Relypsa,http://www.relypsa.com,Biotechnology|Health Care," 357,129,887 ",ipo,USA,CA,SF Bay Area,Redwood City,8,2007,2007-10-29,2014-06-02
RetailNext,http://www.retailnext.net,Data Visualization|Manufacturing|Retail," 140,000,000 ",operating,USA,CA,SF Bay Area,San Jose,2,2007,2014-04-30,2015-04-15
Saavn,http://www.saavn.com/corporate,Entertainment Industry|Internet|Mobile|Music|Video Streaming," 110,000,000 ",operating,USA,NY,New York City,New York,3,2007,2009-01-01,2015-07-07
Sapphire Energy,http://sapphireenergy.com,Clean Technology," 283,500,000 ",operating,USA,CA,San Diego,San Diego,4,2007,2008-05-28,2012-04-02
Sentient Technologies,http://Sentient.Ai,Software," 143,780,450 ",operating,USA,CA,SF Bay Area,San Francisco,5,2007,2010-04-19,2014-11-24
ServiceMax,http://www.servicemax.com,Enterprise Software," 204,000,000 ",operating,USA,CA,SF Bay Area,Pleasanton,6,2007,2008-11-04,2015-08-26
Sientra,http://www.sientra.com,Health Care," 150,000,000 ",ipo,USA,CA,Santa Barbara,Santa Barbara,2,2007,2007-04-18,2012-03-28
Silk Road Medical,http://www.silkroadmed.com,Health Care," 113,625,793 ",operating,USA,CA,SF Bay Area,Sunnyvale,6,2007,2007-05-07,2015-10-20
SolarReserve,http://www.solar-reserve.com,Clean Technology," 182,000,000 ",operating,USA,CA,Los Angeles,Santa Monica,3,2007,2008-09-16,2011-10-24
SpiderCloud Wireless,http://www.spidercloud.com,Enterprise Software," 120,999,995 ",operating,USA,CA,SF Bay Area,San Jose,5,2007,2009-12-12,2015-01-06
Sunrun,http://www.sunrun.com,Clean Energy|Clean Technology|Residential Solar|Solar," 681,600,000 ",ipo,USA,CA,SF Bay Area,San Francisco,10,2007,2008-06-20,2015-01-09
Taboola,http://www.taboola.com,Advertising|Content|Content Discovery|Curated Web|Video," 160,000,000 ",operating,USA,NY,New York City,New York,7,2007,2007-11-01,2015-06-04
Tanium,http://www.tanium.com,Enterprise Software|Security," 302,312,497 ",operating,USA,CA,SF Bay Area,Emeryville,5,2007,2010-05-06,2015-09-29
Tigo Energy,http://www.tigoenergy.com,Clean Technology," 103,662,749 ",operating,USA,CA,SF Bay Area,Los Gatos,17,2007,2008-05-23,2015-09-23
Transphorm,http://www.transphormusa.com,Clean Technology," 221,200,001 ",operating,USA,CA,Santa Barbara,Goleta,9,2007,2010-05-05,2015-06-22
TV2 Holding,http://trivascular.com,Biotechnology," 119,865,030 ",operating,USA,CA,Napa Valley,Santa Rosa,5,2007,2009-11-06,2013-11-07
Village Roadshow Entertainment Group,http://www.vreg.com,Entertainment," 480,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,2007,2015-09-14,2015-09-14
Zeta Interactive,http://www.zetainteractive.com,Advertising," 195,000,000 ",operating,USA,NY,New York City,New York,2,2007,2012-06-27,2015-07-15
ZocDoc,http://www.zocdoc.com,Dental|Doctors|Health and Wellness|Health Care," 223,000,000 ",operating,USA,NY,New York City,New York,4,2007,2008-08-18,2015-08-20
Zuora,http://www.zuora.com,Billing|SaaS|Software," 242,500,000 ",operating,USA,CA,SF Bay Area,Foster City,6,2007,2008-03-13,2015-03-11
Zynga,http://www.zynga.com,Facebook Applications|Games|Networking|Technology," 866,550,786 ",ipo,USA,CA,SF Bay Area,San Francisco,9,2007,2007-01-01,2011-02-18
Airbnb,http://airbnb.com,Hotels|Travel," 2,394,820,000 ",operating,USA,CA,SF Bay Area,San Francisco,8,2008,2009-01-01,2015-11-20
AppDynamics,http://www.appdynamics.com,Application Performance Monitoring|Apps|Business Analytics|Information Services|Information Technology|Internet|Software," 364,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,7,2008,2008-01-01,2015-11-30
Ayasdi,http://www.ayasdi.com,Analytics|Big Data|Big Data Analytics|Data Visualization|Machine Learning," 106,348,982 ",operating,USA,CA,SF Bay Area,Menlo Park,7,2008,2010-09-01,2015-03-25
Betterment,http://www.betterment.com,Finance|Investment Management," 105,000,000 ",operating,USA,NY,New York City,New York,5,2008,2010-11-01,2015-02-17
Blu Homes,http://www.bluhomes.com,Real Estate," 197,500,000 ",operating,USA,CA,SF Bay Area,Vallejo,5,2008,2011-05-05,2015-01-14
Castlight Health,http://www.castlighthealth.com,Health and Wellness|Technology," 180,999,999 ",ipo,USA,CA,SF Bay Area,San Francisco,5,2008,2008-04-01,2012-05-01
Cloudera,http://www.cloudera.com,Analytics|Big Data|Enterprise Software|Search|Software," 1,041,000,000 ",operating,USA,CA,SF Bay Area,Palo Alto,8,2008,2009-03-16,2014-09-01
Counsyl,http://www.counsyl.com,Biotechnology|Technology," 103,795,000 ",operating,USA,CA,SF Bay Area,South San Francisco,6,2008,2010-03-16,2014-05-08
CytomX Therapeutics,http://www.cytomx.com,Biotechnology," 133,500,000 ",ipo,USA,CA,Santa Barbara,Santa Barbara,5,2008,2010-03-03,2015-06-16
Delphix,http://www.delphix.com,Software," 119,500,000 ",operating,USA,CA,SF Bay Area,Menlo Park,4,2008,2009-02-04,2015-07-13
GitHub,https://github.com,Internet|Services|Software," 350,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,2008,2012-07-09,2015-07-29
Ingenu,http://www.ingenu.com,Communications Infrastructure|Internet of Things|Mobile|Smart Grid|Wireless," 123,584,454 ",operating,USA,CA,San Diego,San Diego,7,2008,2009-08-06,2015-07-28
Knewton,http://www.knewton.com,Colleges|EdTech|Education|K-12 Education|Machine Learning|Personalization," 147,250,017 ",operating,USA,NY,New York City,New York,6,2008,2008-05-21,2015-10-30
New Relic,http://newrelic.com,Analytics|Application Performance Monitoring|Cloud Computing|SaaS|Software," 214,500,000 ",ipo,USA,CA,SF Bay Area,San Francisco,6,2008,2008-04-01,2014-04-28
Otonomy,http://www.otonomy.com,Biotechnology," 143,400,000 ",ipo,USA,CA,San Diego,San Diego,4,2008,2010-06-11,2014-04-30
ReShape Medical,http://www.reshapemedical.com,Health Care," 100,250,000 ",operating,USA,CA,Anaheim,San Clemente,8,2008,2007-08-31,2015-08-26
Siluria Technologies,http://www.siluria.com,Nanotechnology," 124,468,875 ",operating,USA,CA,SF Bay Area,San Francisco,7,2008,2009-06-05,2015-11-17
Soraa,http://soraa.com,Clean Technology|Lighting|Semiconductors," 101,600,000 ",operating,USA,CA,SF Bay Area,Fremont,4,2008,2008-02-01,2013-01-31
Stem CentRx,http://stemcentrx.com,Biotechnology|Health Diagnostics," 473,526,990 ",operating,USA,CA,SF Bay Area,South San Francisco,3,2008,2011-03-16,2015-09-09
Sungevity,http://www.sungevity.com,Clean Technology," 245,500,000 ",operating,USA,CA,SF Bay Area,Oakland,8,2008,2007-12-12,2015-07-25
Tandem Diabetes Care,http://www.tandemdiabetes.com,Health Care," 152,001,200 ",ipo,USA,CA,San Diego,San Diego,4,2008,2008-07-07,2012-09-11
Thumbtack,https://www.thumbtack.com,Curated Web|Service Providers," 273,200,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2008,2010-06-09,2015-09-29
Tintri,http://www.tintri.com,Enterprise Software|Storage|Virtualization," 260,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,6,2008,2011-03-24,2015-08-05
Twilio,http://www.twilio.com,Enterprise Software," 233,700,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2008,2009-01-01,2015-07-29
Versartis,http://www.versartis.com,Health Care," 144,499,999 ",ipo,USA,CA,SF Bay Area,Menlo Park,6,2008,2009-06-02,2014-02-19
Zscaler,http://www.zscaler.com,Cloud Computing|Cloud Security|Data Security|Email|Internet|Mobile|Security," 148,000,000 ",operating,USA,CA,SF Bay Area,San Jose,3,2008,2012-08-30,2015-09-22
AppDirect,http://www.appdirect.com,Apps|Enterprise Software|IaaS|PaaS|SaaS," 245,750,000 ",operating,USA,CA,SF Bay Area,San Francisco,6,2009,2011-04-28,2015-10-07
Blue Jeans Network,http://bluejeans.com,Chat|Collaboration|Enterprise Software|SaaS|Software|Video Conferencing," 175,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,5,2009,2009-11-01,2015-09-23
CloudFlare,http://www.cloudflare.com,Enterprise Software|Security," 182,050,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,2009,2009-11-25,2015-09-22
Coda Automotive,http://www.codaautomotive.com,Clean Technology," 229,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,5,2009,2009-07-28,2011-09-20
Couchbase,http://www.couchbase.com,Analytics|Big Data|Databases|Enterprise Software," 116,000,000 ",operating,USA,CA,SF Bay Area,Mountain View,6,2009,2009-01-01,2014-06-26
Dataminr,http://www.dataminr.com,Analytics," 179,566,000 ",operating,USA,NY,New York City,New York,6,2009,2010-08-17,2015-09-30
Ensighten,http://www.ensighten.com/,E-Commerce|Enterprise Software," 108,500,000 ",operating,USA,CA,SF Bay Area,San Jose,3,2009,2012-09-12,2015-10-20
Fancy,http://fancy.com,Curated Web|Online Shopping|Social Media," 124,400,000 ",operating,USA,NY,New York City,New York,7,2009,2009-06-01,2015-02-10
FanDuel,http://www.fanduel.com,Fantasy Sports|Sports," 361,200,000 ",operating,USA,NY,New York City,New York,7,2009,2007-11-01,2015-07-13
