name,homepage_url,category_list, funding_total_usd ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
Equinix,http://www.equinix.com,Web Hosting," 280,000,000 ",ipo,USA,CA,SF Bay Area,Foster City,2,1998,1999-12-03,1999-12-03
Quotient Technology,http://www.coupons.com,Advertising|Coupons|Curated Web," 276,760,000 ",ipo,USA,CA,SF Bay Area,Mountain View,7,1998,2005-09-01,2013-10-01
TriVascular,http://www.trivascular.com/,Health Care|Medical Devices," 266,950,270 ",ipo,USA,CA,Napa Valley,Santa Rosa,7,1998,2008-03-31,2015-08-21
Calix,http://www.calix.com,Semiconductors|Telecommunications|Television|VoIP|Web Hosting," 150,000,000 ",ipo,USA,CA,Napa Valley,Petaluma,3,1999,2003-02-07,2009-08-31
eASIC,http://www.easic.com,Semiconductors," 139,143,676 ",operating,USA,CA,SF Bay Area,Santa Clara,9,1999,2004-05-28,2013-09-11
Intacct,http://www.intacct.com,Accounting|Cloud Computing|Enterprise Software|Finance|SaaS|Software," 139,800,000 ",operating,USA,CA,SF Bay Area,San Jose,9,1999,2006-05-21,2014-02-18
IronPlanet,http://www.ironplanet.com,E-Commerce," 140,041,914 ",operating,USA,CA,SF Bay Area,Pleasanton,7,1999,1999-01-01,2015-09-17
Jawbone,http://jawbone.com,Consumer Electronics|Fitness|Hardware + Software|Mobile Software Tools|Personal Health|Wearables," 818,799,995 ",operating,USA,CA,SF Bay Area,San Francisco,12,1999,2006-12-15,2015-04-30
LegalZoom,http://www.legalzoom.com,Legal," 266,000,000 ",operating,USA,CA,Los Angeles,Glendale,3,1999,2007-03-21,2014-01-07
Mblox,http://mblox.com,Mobile|SMS|Wireless," 121,842,730 ",operating,USA,CA,SF Bay Area,Campbell,7,1999,2004-07-09,2014-07-07
MetricStream,http://metricstream.com,Risk Management|Software," 125,020,000 ",operating,USA,CA,SF Bay Area,Palo Alto,6,1999,2006-09-29,2014-09-04
National Funding,https://www.nationalfunding.com/,Business Services|Financial Services," 105,000,000 ",operating,USA,CA,San Diego,San Diego,2,1999,2013-10-22,2015-10-13
OmniSky,http://www.omnisky.com,Software," 110,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1999,2000-01-31,2000-06-12
SquareTrade,http://www.squaretrade.com,Hardware + Software|Insurance," 247,700,000 ",operating,USA,CA,SF Bay Area,San Francisco,4,1999,1999-10-01,2012-01-24
