name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
ISC8,Security|Software|Wireless," 5,140,000 ",operating,USA,TX,Dallas,Plano,1,1974,2013-11-18,2013-11-18
Northwest Evaluation Association,Nonprofits," 17,000,000 ",operating,USA,OR,"Portland, Oregon",Portland,1,1974,2011-09-20,2011-09-20
Quality Systems,Biotechnology," 23,394,037 ",ipo,USA,CA,Anaheim,Irvine,2,1974,2010-02-12,2011-04-11
Central Security Group,Business Services|Energy Management|Home Automation|Home & Garden|Home Owners|Industrial Energy Efficiency|Location Based Services|Network Security|Physical Security|Professional Services|Security|Video," 10,000,000 ",operating,USA,OK,Tulsa,Tulsa,2,1975,2009-09-15,2010-10-20
katena,Hardware + Software," 7,500,000 ",operating,USA,NJ,Newark,Denville,1,1975,2013-12-23,2013-12-23
Maximus,Business Services," 7,926,732 ",ipo,USA,VA,"Washington, D.C.",Reston,1,1975,2010-12-09,2010-12-09
Speakeasy Inc,Consulting," 3,350,909 ",operating,USA,GA,Atlanta,Atlanta,2,1975,2013-08-02,2014-08-27
Advocate Health Care,Health and Wellness," 18,000,000 ",operating,USA,IL,Chicago,Oak Brook,1,1976,2013-10-03,2013-10-03
Cadec Global,Mobile," 4,000,000 ",operating,USA,NH,"Manchester, New Hampshire",Manchester,1,1976,2009-04-02,2009-04-02
California Arts Council,Design," 2,000,000 ",operating,USA,CA,Sacramento,Sacramento,1,1976,2013-07-17,2013-07-17
Cleo,File Sharing|Software," 3,500,000 ",operating,USA,IL,Rockford,Loves Park,1,1976,2012-05-16,2012-05-16
CommScope,Broadcasting|Communications Hardware|Hardware + Software," 100,000,000 ",ipo,USA,TX,Dallas,Richardson,1,1976,2009-03-23,2009-03-23
"Dots ,LLC",Fashion," 51,000,000 ",operating,USA,OH,Cleveland,Solon,1,1976,2013-09-13,2013-09-13
Ebix,Software," 25,000,000 ",ipo,USA,GA,Atlanta,Atlanta,1,1976,2009-10-15,2009-10-15
Seattle Biomedical Research Institute,Biotechnology," 26,000,000 ",operating,USA,WA,Seattle,Seattle,2,1976,2013-08-15,2014-03-10
ViewPoint Construction Software,Software," 316,000,000 ",operating,USA,OR,"Portland, Oregon",Portland,4,1976,2010-02-02,2014-04-22
Aehr Test Systems,Hardware + Software," 7,857,000 ",ipo,USA,CA,SF Bay Area,Fremont,4,1977,1985-09-19,2015-04-22
Arena Pharmaceuticals,Biotechnology," 220,260,000 ",ipo,USA,CA,San Diego,San Diego,3,1977,2009-06-17,2012-01-11
Basys,Software," 3,742,188 ",operating,USA,MD,Baltimore,Linthicum Heights,3,1977,2009-07-17,2014-09-18
Electronic Warfare Associates,Electronics|Security," 21,500,000 ",operating,USA,VA,"Washington, D.C.",Herndon,1,1977,2015-05-11,2015-05-11
Harris Research,Business Services|Clean Technology|Service Providers," 48,300,000 ",operating,USA,UT,Salt Lake City,Logan,2,1977,1996-09-06,2002-12-24
MedLink,Biotechnology," 1,250,000 ",operating,USA,NY,Long Island,Hauppauge,1,1977,2010-11-15,2010-11-15
Primekss,Real Estate," 12,866,000 ",operating,USA,IL,Chicago,Schaumburg,1,1977,2014-02-09,2014-02-09
Qvidian,Sales Automation|Software," 31,170,000 ",operating,USA,MA,Boston,Lowell,2,1977,2008-12-31,2010-06-04
Axcelis Technologies,Semiconductors," 15,000,000 ",ipo,USA,MA,Boston,Beverly,1,1978,2013-07-09,2013-07-09
Curacao,E-Commerce," 15,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,1978,2011-08-18,2011-08-18
DBi Services,Public Transportation," 35,000,000 ",operating,USA,PA,Scranton,Hazleton,1,1978,2014-03-17,2014-03-17
FiveCubits,Software," 7,596,725 ",operating,USA,IL,Chicago,Elmhurst,1,1978,2010-12-08,2010-12-08
Integral Vision,Hardware + Software," 18,741,270 ",operating,USA,MI,Detroit,Wixom,3,1978,2011-11-30,2012-06-25
Mercy Ships,Nonprofits," 2,000,000 ",operating,USA,GA,GA - Other,Lindale,1,1978,2013-12-26,2013-12-26
Micron Technology,Semiconductors," 50,410,400 ",ipo,USA,ID,Boise,Boise,4,1978,2006-10-25,2013-09-01
Myer,E-Commerce," 181,592,251 ",operating,USA,FL,Florida's Space Coast,Melbourne Beach,1,1978,2010-01-06,2010-01-06
Pressure BioSciences,Biotechnology|Health Diagnostics," 10,628,756 ",ipo,USA,MA,Boston,South Easton,9,1978,2009-02-20,2014-03-09
SecureOne Data Solutions,BPO Services|Databases|Web Design," 12,000,000 ",operating,USA,NY,Long Island,Stony Brook,1,1978,2007-10-03,2007-10-03
Specialty Physicians Surgicenter of Kansas City,Health Care," 1,553,266 ",operating,USA,MO,Kansas City,Kansas City,1,1978,2012-02-09,2012-02-09
Trimble,Gps|Indoor Positioning|Navigation|Service Providers|Web Hosting," 19,200,000 ",ipo,USA,CA,SF Bay Area,Sunnyvale,1,1978,2002-01-15,2002-01-15
AAIPharma Services,Biotechnology," 20,000,000 ",operating,USA,NC,"Wilmington - Cape Fear, North Carolina",Wilmington,1,1979,2012-01-11,2012-01-11
ABARTA Oil & Gas,Oil & Gas," 24,750,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,1,1979,2015-01-28,2015-01-28
Addus HealthCare,Health and Wellness|Health Care," 1,240,000 ",ipo,USA,IL,Chicago,Palatine,1,1979,2010-08-10,2010-08-10
AmeriTech College,Education," 6,800,000 ",operating,USA,UT,Salt Lake City,Provo,1,1979,2012-03-15,2012-03-15
Amplion Clinical Communications,Health Care," 6,706,000 ",operating,USA,TN,Nashville,Nashville,3,1979,2012-09-01,2013-09-01
Dyadic International,Biotechnology," 2,000,000 ",ipo,USA,FL,Palm Beaches,Jupiter,1,1979,2015-03-09,2015-03-09
Dynatronics Corporation,Medical," 4,000,000 ",ipo,USA,UT,Salt Lake City,Salt Lake City,1,1979,2015-05-04,2015-05-04
