name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at
House of Blues Entertainment,Entertainment," 30,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,1992,2004-03-23,2004-03-23
Investor's Circle,Venture Capital," 3,100,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1992,2014-05-29,2014-05-29
I/OMagic,Electronics," 22,000,000 ",operating,USA,CA,Anaheim,Lake Forest,2,1992,2001-02-28,2001-08-09
iTherX,Biotechnology," 5,953,595 ",operating,USA,CA,San Diego,San Diego,2,1992,2010-05-13,2011-11-04
kgb,Curated Web," 44,000,000 ",operating,USA,NY,New York City,New York,1,1992,2004-06-16,2004-06-16
Kingland Companies,Software," 1,503,371 ",operating,USA,IA,IA - Other,Clear Lake,4,1992,2012-06-06,2015-07-01
Manhattan Scientifics,Health and Wellness," 2,300,000 ",operating,USA,NY,New York City,New York,2,1992,2012-02-07,2014-11-21
Metabolix,Biotechnology|Chemicals|Clean Technology," 31,000,000 ",ipo,USA,MA,Boston,Cambridge,2,1992,2011-05-05,2014-08-04
Neurocrine Biosciences,Biotechnology," 10,000,000 ",ipo,USA,CA,San Diego,San Diego,1,1992,2009-12-17,2009-12-17
New England Cable News,News," 7,000,000 ",operating,USA,MA,Boston,Newton,1,1992,2008-02-14,2008-02-14
NovaSom,Biotechnology," 46,077,411 ",operating,USA,MD,Baltimore,Glen Burnie,3,1992,2011-01-21,2014-06-06
Optimus,Enterprise Software," 7,500,000 ",operating,USA,VA,"Washington, D.C.",Mclean,1,1992,2005-12-30,2005-12-30
Osiris Therapeutics,Biotechnology," 65,000,000 ",ipo,USA,MD,Baltimore,Columbia,2,1992,2005-06-09,2014-04-09
Paice,Manufacturing," 4,000,000 ",operating,USA,MD,Baltimore,Baltimore,1,1992,2011-04-20,2011-04-20
PrismTech,Cloud Computing|Cloud Data Services|Cloud Infrastructure|Communications Infrastructure|Data Integration|Embedded Hardware and Software|Enterprise Software|Internet of Things|Messaging|Real Time|Software|Technology," 2,320,000 ",operating,USA,MA,Boston,Woburn,1,1992,2010-02-22,2010-02-22
PURE Bioscience,Biotechnology," 3,251,250 ",ipo,USA,CA,San Diego,El Cajon,3,1992,2010-11-09,2012-07-16
Radiant Research,Clinical Trials|Medical|Pharmaceuticals," 11,000,000 ",operating,USA,AZ,Phoenix,Tempe,1,1992,2004-09-16,2004-09-16
Roy G Biv Corp,Software," 1,275,000 ",operating,USA,WA,WA - Other,Bingen,1,1992,2012-01-10,2012-01-10
Socket Mobile,Consumer Electronics|Hardware|iOS|Mobile," 4,454,766 ",operating,USA,CA,SF Bay Area,Newark,4,1992,2009-06-03,2012-08-15
StemCells,Biotechnology," 20,000,000 ",ipo,USA,CA,SF Bay Area,Newark,1,1992,2014-07-21,2014-07-21
The Dolan Company,Legal|Publishing," 2,623,840 ",ipo,USA,MN,Minneapolis,Minneapolis,1,1992,2010-01-08,2010-01-08
USA Technologies,Mobile," 10,732,800 ",ipo,USA,PA,Philadelphia,Malvern,1,1992,2011-03-23,2011-03-23
Abound Logic,Design|Manufacturing|Semiconductors," 3,705,137 ",operating,USA,CA,SF Bay Area,Santa Clara,1,1993,2009-01-15,2009-01-15
Acacia Research,Business Services|Intellectual Asset Management|Licensing," 255,100,000 ",ipo,USA,CA,Anaheim,Newport Beach,3,1993,1999-11-22,2012-02-21
Acusphere,Biotechnology|Pharmaceuticals," 10,000,000 ",ipo,USA,MA,Boston,Lexington,2,1993,2011-07-07,2012-02-23
Advanced Practice Strategies,Internet|Knowledge Management|Medical," 12,000,000 ",operating,USA,MA,Boston,Boston,1,1993,2015-03-31,2015-03-31
Advion Inc.,Biotechnology," 1,500,000 ",operating,USA,NY,New York City,New York,1,1993,2014-06-30,2014-06-30
American TeleCare,Biotechnology," 1,350,000 ",operating,USA,MN,Minneapolis,Eden Prairie,1,1993,2009-02-25,2009-02-25
AssureCare,Software," 6,117,000 ",operating,USA,OH,Cincinnati,Cincinnati,4,1993,2007-10-01,2014-02-12
Cardtronic,Business Services|Finance," 75,000,000 ",ipo,USA,TX,Houston,Houston,1,1993,2005-03-08,2005-03-08
Charter Communications,Internet|Telecommunications|Television|Video," 5,162,513,431 ",ipo,USA,CT,Hartford,Stamford,2,1993,2009-11-21,2014-09-15
Cortera,Finance," 60,699,922 ",operating,USA,FL,Palm Beaches,Boca Raton,4,1993,2008-04-29,2015-04-13
CSA Medical,Health Care," 49,427,303 ",operating,USA,MD,Baltimore,Lutherville Timonium,4,1993,2011-01-25,2015-04-16
dELiAs,E-Commerce|Retail," 44,100,000 ",ipo,USA,OH,Cincinnati,Cincinnati,1,1993,2014-02-26,2014-02-26
Earth Networks,Clean Technology," 28,900,008 ",operating,USA,MD,"Washington, D.C.",Germantown,2,1993,2004-04-29,2013-03-04
EPAM Systems,Outsourcing|Software|Technology," 50,000,000 ",ipo,USA,PA,Philadelphia,Newtown,1,1993,2008-06-30,2008-06-30
Evergreen Enterprises,Design," 55,000,000 ",operating,USA,VA,Richmond,Richmond,1,1993,2014-01-16,2014-01-16
FibroGen,Biotechnology," 126,023,000 ",operating,USA,CA,SF Bay Area,San Francisco,3,1993,2005-02-17,2014-12-10
FitLinxx,Software," 4,775,000 ",operating,USA,CT,Hartford,Shelton,3,1993,2003-04-03,2009-08-13
Gevity HR,Human Resources|Outsourcing|Small and Medium Businesses," 30,000,000 ",ipo,USA,FL,Sarasota - Bradenton,Bradenton,1,1993,2003-03-07,2003-03-07
Global Capital Partners,Finance," 2,000,000 ",operating,USA,NC,Charlotte,Charlotte,1,1993,2001-06-27,2001-06-27
Great East Energy,Clean Technology," 1,490,000 ",ipo,USA,NY,New York City,Brooklyn,1,1993,2014-02-18,2014-02-18
Guidance Solutions,E-Commerce," 47,000,000 ",operating,USA,CA,Los Angeles,Marina Del Rey,1,1993,1999-12-09,1999-12-09
IDRI (Infectious Disease Research Institute),Nonprofits," 3,400,000 ",operating,USA,WA,Seattle,Seattle,1,1993,2014-03-24,2014-03-24
Idun Pharmaceuticals,Biotechnology," 3,125,044 ",operating,USA,CA,San Diego,San Diego,2,1993,2015-02-09,2015-07-13
Imaging3,Biotechnology," 4,901,993 ",operating,USA,CA,Los Angeles,Burbank,9,1993,2009-03-04,2015-01-15
Immaculate Baking,Hospitality," 4,300,000 ",operating,USA,MN,Minneapolis,Minneapolis,1,1993,2010-09-07,2010-09-07
INVISION,Software," 44,616,400 ",operating,USA,NY,New York City,New York,4,1993,2008-03-04,2011-03-10
IPP of America,E-Commerce," 24,300,000 ",operating,USA,NJ,Newark,Fairfield,3,1993,2006-11-13,2010-06-29
KAJ Hospitality,Hospitality," 2,250,000 ",operating,USA,SD,Sioux Falls,Sioux Falls,1,1993,2013-06-17,2013-06-17
Lightspan Inc.,Education|K-12 Education|Online Education," 100,000,000 ",operating,USA,CA,San Diego,San Diego,1,1993,2001-02-14,2001-02-14
Lightyear Network Solutions,Manufacturing," 1,523,100 ",operating,USA,KY,Louisville,Louisville,1,1993,2010-07-08,2010-07-08
"LiveTechnology Holdings, Inc.",Advertising|Marketing Automation|Software," 12,500,000 ",operating,USA,NY,NY - Other,Tuxedo Park,1,1993,2002-05-14,2002-05-14
Logicworks,Cloud Computing|Cloud Management|Health and Insurance|Infrastructure|Web Hosting," 7,600,000 ",operating,USA,NY,New York City,New York,1,1993,2011-04-05,2011-04-05
MaxVision,Hardware + Software," 2,000,000 ",operating,USA,AL,Huntsville,Madison,1,1993,2010-05-11,2010-05-11
M Cubed Technologies,Manufacturing," 10,305,802 ",operating,USA,CT,Hartford,Monroe,2,1993,2009-12-07,2009-12-07
MediaPro,Education," 5,000,000 ",operating,USA,WA,Seattle,Bothell,1,1993,2015-04-21,2015-04-21
Menowatt Ge spa,Services," 2,242,768 ",operating,USA,TX,TX - Other,Italy,1,1993,2015-09-29,2015-09-29
MicroVision,Displays|Hardware + Software|Technology," 118,000,000 ",ipo,USA,WA,Seattle,Redmond,4,1993,2009-06-22,2015-03-30
NextCare,Biotechnology," 10,279,999 ",operating,USA,AZ,Phoenix,Mesa,4,1993,2009-04-24,2011-01-11
Northern Brewer,E-Commerce," 10,000,000 ",operating,USA,MN,Minneapolis,Saint Paul,1,1993,2011-11-10,2011-11-10
Nvidia,Hardware + Software," 25,000,000 ",ipo,USA,CA,SF Bay Area,Santa Clara,2,1993,2009-01-01,2010-08-09
OSR Open Systems Resources,Software," 2,000,000 ",operating,USA,NH,"Manchester, New Hampshire",Amherst,1,1993,2012-12-18,2012-12-18
Palingen,Biotechnology," 1,302,789 ",operating,USA,CA,SF Bay Area,Palo Alto,1,1993,2010-07-02,2010-07-02
QlikTech,Analytics|Business Intelligence|Software|Web Development," 12,500,000 ",ipo,USA,PA,Philadelphia,Radnor,1,1993,2004-12-06,2004-12-06
Red Herring,News|Venture Capital," 5,000,000 ",operating,USA,CA,San Diego,La Jolla,1,1993,2001-10-08,2001-10-08
Refractec,Manufacturing|Medical|Medical Devices," 9,000,000 ",operating,USA,MN,Minneapolis,Bloomington,2,1993,2002-09-06,2003-07-18
Romark Laboratories,Biotechnology," 49,659,037 ",operating,USA,FL,Tampa,Tampa,4,1993,2011-01-05,2014-07-08
Synchrony,Manufacturing," 25,000,000 ",operating,USA,VA,Roanoke,Salem,3,1993,2007-11-30,2011-03-31
Synthonics,Software," 3,103,918 ",operating,USA,CA,Los Angeles,Westlake Village,2,1993,2010-11-30,2014-08-05
The Motley Fool,Finance," 25,000,000 ",operating,USA,VA,Alexandria,Alexandria,1,1993,2009-11-01,2009-11-01
Thoughtworks,Consulting|Software," 28,000,000 ",operating,USA,IL,Chicago,Chicago,1,1993,2000-10-11,2000-10-11
Venturi Wireless,Mobile," 11,460,000 ",operating,USA,CA,SF Bay Area,Sunnyvale,5,1993,2000-12-21,2008-12-12
Vermillion,Biotechnology|Diagnostics|Health Care," 84,392,358 ",ipo,USA,TX,Austin,Austin,4,1993,2010-01-12,2014-12-23
ViaCell,Biotechnology," 20,000,000 ",ipo,USA,MA,Boston,Cambridge,1,1993,2004-01-02,2004-01-02
Visual Networks,Software," 11,425,000 ",operating,USA,MD,"Washington, D.C.",Rockville,2,1993,2005-08-05,2011-07-05
WeatherBug,News," 38,000,000 ",operating,USA,MD,"Washington, D.C.",Germantown,2,1993,2000-06-01,2004-03-01
Accion Texas,Nonprofits," 2,800,000 ",operating,USA,TX,San Antonio,San Antonio,1,1994,2013-09-25,2013-09-25
Accipiter Radar,Homeland Security|Security|Tracking," 4,700,000 ",operating,USA,NY,NY - Other,Orchard Park,1,1994,2013-09-04,2013-09-04
ACCO Semiconductor,Semiconductors," 33,331,814 ",operating,USA,CA,SF Bay Area,Sunnyvale,3,1994,2010-09-15,2014-03-18
Acumentrics,Manufacturing," 18,100,000 ",operating,USA,MA,Boston,Westwood,2,1994,2008-06-05,2011-09-14
AEOLUS PHARMACEUTICALS,Biotechnology," 11,755,550 ",operating,USA,CA,"Orange County, California",Mission Viejo,6,1994,2009-04-06,2013-03-05
Agenus,Biotechnology," 171,140,000 ",ipo,USA,MA,Boston,Lexington,5,1994,2009-08-04,2015-09-23
Alien Technology,Semiconductors," 335,377,366 ",operating,USA,CA,SF Bay Area,San Jose,10,1994,2003-08-06,2014-10-09
Allin corporation,Digital Signage|Information Technology|Mobile," 12,000,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,6,1994,2013-08-29,2015-07-29
Amazon,Consumer Goods|Crowdsourcing|Delivery|E-Commerce|Groceries|Internet|Retail|Software," 8,000,000 ",ipo,USA,WA,Seattle,Seattle,1,1994,1995-07-01,1995-07-01
ApeSoft,Software," 3,800,000 ",operating,USA,VA,"Washington, D.C.",Herndon,1,1994,2009-07-13,2009-07-13
ArcSoft,Digital Media|Mobile|Photography|Software|Video," 20,000,000 ",operating,USA,CA,SF Bay Area,Fremont,1,1994,2011-09-19,2011-09-19
Avectra,Software," 26,500,000 ",operating,USA,VA,"Washington, D.C.",Mclean,1,1994,2007-10-25,2007-10-25
Biohorizons.com,Biotechnology|Dental," 64,058,512 ",operating,USA,AL,Birmingham,Birmingham,3,1994,2011-06-30,2012-12-19
Biologics,Biotechnology," 29,821,889 ",operating,USA,NC,Raleigh,Cary,2,1994,2010-05-20,2015-04-15
BioSavita,Biotechnology," 3,000,000 ",operating,USA,MI,Detroit,Plymouth,1,1994,2014-10-17,2014-10-17
BioStratum,Biotechnology|Health and Wellness|Therapeutics," 10,099,999 ",operating,USA,NC,Raleigh,Durham,2,1994,2003-08-22,2011-08-19
Boulder Imaging,Games," 4,850,000 ",operating,USA,CO,Denver,Louisville,4,1994,2011-05-16,2014-05-21
Calimetrics,Optical Communications|Semiconductors," 25,000,000 ",operating,USA,CA,SF Bay Area,Alameda,1,1994,2001-03-23,2001-03-23
Catalytic Solutions,Automotive," 72,400,000 ",operating,USA,CA,Santa Barbara,Oxnard,3,1994,2002-01-10,2004-11-03
Cavendish Kinetics,Semiconductors," 68,500,000 ",operating,USA,CA,SF Bay Area,San Jose,4,1994,2006-05-01,2015-08-24
Certain,Software," 28,900,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1994,2011-12-28,2014-01-13
Clickshare Service Corp.,Curated Web," 3,200,000 ",operating,USA,MA,Worcester,Amherst,1,1994,2008-01-01,2008-01-01
Commerce One,E-Commerce," 10,000,000 ",ipo,USA,CA,SF Bay Area,Pleasanton,1,1994,2003-07-11,2003-07-11
Corsair,Game|Hardware + Software," 80,000,000 ",ipo,USA,CA,SF Bay Area,Fremont,2,1994,2009-06-18,2013-05-06
Digital Intelligence Systems,Consulting," 20,000,000 ",operating,USA,VA,"Washington, D.C.",Mclean,1,1994,2012-09-18,2012-09-18
DreamWorks Animation,Entertainment|Games," 15,000,000 ",ipo,USA,CA,Los Angeles,Glendale,1,1994,2015-02-12,2015-02-12
Dynamic Mobile Data,Enterprise Software|Services," 10,000,000 ",operating,USA,NJ,Newark,Somerset,1,1994,2001-04-04,2001-04-04
EarthLink,Curated Web|Software," 23,598,258 ",ipo,USA,GA,Atlanta,Atlanta,1,1994,2011-04-12,2011-04-12
EARTHNET,Software," 1,999,999 ",operating,USA,CO,Denver,Boulder,1,1994,2014-08-14,2014-08-14
FieldCentrix,Home Automation|Services," 8,900,000 ",operating,USA,CA,Anaheim,Irvine,1,1994,2004-04-05,2004-04-05
FM Facility Maintenance,Field Support Services," 6,500,000 ",operating,USA,CT,Hartford,Hartford,1,1994,2010-12-21,2010-12-21
Gigex,Internet," 5,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1994,2000-07-13,2000-07-13
GlobalView Software,Commodities|Energy," 8,020,000 ",operating,USA,IL,Chicago,Chicago,2,1994,2000-07-31,2003-12-04
GT Advanced Technologies,Clean Technology|Technology," 83,649,920 ",ipo,USA,NH,"Manchester, New Hampshire",Merrimack,2,1994,2010-08-12,2013-05-29
Information Systems Associates,Software," 2,500,000 ",operating,USA,FL,Florida's Treasure Coast,Stuart,1,1994,2011-07-29,2011-07-29
Insitu,Aerospace|Manufacturing," 21,330,000 ",operating,USA,WA,WA - Other,Bingen,1,1994,2007-12-06,2007-12-06
Intellicheck Mobilisa,Hardware + Software," 4,500,000 ",ipo,USA,WA,Seattle,Port Townsend,2,1994,2010-09-30,2014-01-14
Intermex,P2P Money Transfer|Services," 2,500,000 ",operating,USA,FL,Miami,Miami,1,1994,2004-06-04,2004-06-04
Interwise,Software," 9,000,000 ",operating,USA,MA,Boston,Cambridge,1,1994,2006-08-08,2006-08-08
KMLabs,Delivery," 11,000,000 ",operating,USA,CO,Denver,Boulder,2,1994,2015-10-15,2015-11-03
Light Sciences Oncology,Biotechnology|Health and Wellness|Health Care," 179,961,674 ",operating,USA,WA,Seattle,Bellevue,8,1994,2005-10-11,2013-12-23
MBA Polymers,Clean Technology," 86,200,000 ",operating,USA,CA,SF Bay Area,Richmond,5,1994,2007-05-11,2011-02-23
MIOX,Clean Technology," 43,307,984 ",operating,USA,NM,Albuquerque,Albuquerque,8,1994,2007-01-25,2015-10-27
NanoFlex Power Corporation,Services," 2,765,250 ",operating,USA,AZ,Phoenix,Scottsdale,3,1994,2014-05-06,2015-04-22
NeoNova Network Services,Cable|CRM|Customer Service|Internet|Internet Service Providers|Telecommunications|Web Hosting|Wireless," 2,000,000 ",operating,USA,NC,Raleigh,Raleigh,1,1994,2009-09-18,2009-09-18
Netformx,Design|Enterprise Software|Software," 12,000,000 ",operating,USA,CA,SF Bay Area,San Jose,1,1994,2009-12-14,2009-12-14
Next Jump,Business Development|Corporate Wellness|Discounts|E-Commerce|Employer Benefits Programs|Health and Wellness|Human Resources|Incentives|Loyalty Programs|Shopping," 45,000,000 ",operating,USA,NY,New York City,New York,4,1994,1998-01-01,2006-01-01
Novariant,Gps|Industrial|Mechanical Solutions|Technology," 60,500,000 ",operating,USA,CA,SF Bay Area,Fremont,3,1994,2005-05-10,2010-12-24
Ocean Power Technologies,Clean Technology|Energy," 65,643,735 ",ipo,USA,NJ,NJ - Other,Pennington,2,1994,2009-11-01,2014-06-27
OptiScan Biomedical,Biotechnology," 100,756,757 ",operating,USA,CA,SF Bay Area,Hayward,4,1994,2005-10-10,2013-02-07
Powerit Solutions,Clean Technology|Energy|Industrial Energy Efficiency," 31,756,275 ",operating,USA,WA,Seattle,Seattle,7,1994,2007-05-31,2014-06-13
Powerspan,Clean Technology," 50,000,000 ",operating,USA,NH,Portsmouth,Portsmouth,1,1994,2008-06-20,2008-06-20
Purple Communications,Curated Web|Messaging|Telecommunications|Translation," 5,000,000 ",operating,USA,CA,Sacramento,Rocklin,1,1994,2009-12-30,2009-12-30
Quark Pharmaceuticals,Biotechnology|Medical," 37,000,000 ",operating,USA,CA,SF Bay Area,Fremont,2,1994,2008-07-04,2010-06-01
QuVIS,Hardware + Software," 5,500,000 ",operating,USA,KS,Topeka,Topeka,1,1994,2005-08-03,2005-08-03
RyMed Technologies,Biotechnology," 7,935,325 ",operating,USA,TN,Nashville,Franklin,4,1994,2009-08-13,2012-08-02
ScentAir,Manufacturing," 7,966,863 ",operating,USA,NC,Charlotte,Charlotte,4,1994,2010-03-03,2014-02-21
Scripps Networks Interactive,Curated Web," 10,000,000 ",ipo,USA,TN,Knoxville,Knoxville,1,1994,2010-03-01,2010-03-01
Sequenom,Biotechnology|Health Diagnostics," 183,117,265 ",ipo,USA,CA,San Diego,San Diego,3,1994,2009-12-29,2012-09-24
SS8 Networks,Security," 30,500,000 ",operating,USA,CA,SF Bay Area,Milpitas,3,1994,2006-07-28,2010-11-30
Strategic Science & Technologies,Biotechnology," 5,061,900 ",operating,USA,MA,Boston,Cambridge,1,1994,2014-01-06,2014-01-06
Surveying And Mapping (SAM),Big Data|Clean Technology|Geospatial," 36,700,000 ",operating,USA,TX,Austin,Austin,1,1994,2014-03-12,2014-03-12
T2 Systems,Parking|Software," 31,000,000 ",operating,USA,IN,Indianapolis,Indianapolis,2,1994,2007-06-25,2011-09-30
TEOCO Corporation,Software," 60,000,000 ",operating,USA,VA,"Washington, D.C.",Fairfax,1,1994,2009-10-06,2009-10-06
TherOx,Health Care|Medical Devices," 57,075,746 ",operating,USA,CA,Anaheim,Irvine,5,1994,2008-02-01,2015-08-10
Ultimus,B2B|Business Productivity|Enterprise Software|Professional Services|Software|Technology," 10,000,000 ",operating,USA,NY,New York City,New York,1,1994,2004-03-03,2004-03-03
Unitask,Software," 2,500,000 ",operating,USA,MI,Detroit,Bloomfield Hills,1,1994,2005-06-10,2005-06-10
WebLinc,E-Commerce," 6,000,000 ",operating,USA,PA,Philadelphia,Philadelphia,1,1994,2014-08-19,2014-08-19
Wild Brain,Advertising|Games|Graphics," 30,000,000 ",operating,USA,CA,Los Angeles,Los Angeles,1,1994,2004-11-01,2004-11-01
XO Communications,Web Hosting," 50,000,000 ",operating,USA,VA,"Washington, D.C.",Herndon,1,1994,2010-10-08,2010-10-08
Yahoo!,Email|Internet|Photography|Portals|Search|Technology," 6,800,000 ",ipo,USA,CA,SF Bay Area,Sunnyvale,2,1994,1995-04-01,1995-11-30
ZAP,Automotive," 25,000,000 ",operating,USA,CA,Napa Valley,Santa Rosa,1,1994,2009-08-10,2009-08-10
Abtech Holdings,Engineering Firms|Environmental Innovation|Technology," 1,400,000 ",ipo,USA,AZ,Phoenix,Scottsdale,1,1995,2015-05-18,2015-05-18
Accruent,Enterprise Software," 32,000,000 ",operating,USA,CA,Los Angeles,Santa Monica,2,1995,2010-02-04,2013-11-25
Acumen Holdings,E-Commerce," 93,000,000 ",operating,USA,AR,Fayetteville,Fayetteville,3,1995,2010-12-20,2013-04-07
Additech,Automotive," 14,350,000 ",operating,USA,TX,Houston,Houston,4,1995,2006-08-09,2013-09-04
Agentek,Mobile," 9,000,000 ",operating,USA,GA,Atlanta,Alpharetta,2,1995,2008-03-26,2010-07-01
American Aerogel,Manufacturing," 23,466,222 ",operating,USA,NY,"Rochester, New York",Rochester,5,1995,2007-11-28,2015-07-31
American CareSource Holdings,Biotechnology," 18,121,600 ",ipo,USA,TX,Dallas,Dallas,5,1995,2014-05-09,2014-12-10
Angie's List,Advertising|Curated Web|Local|Reviews and Recommendations|Services," 182,600,000 ",ipo,USA,IN,Indianapolis,Indianapolis,9,1995,2006-06-01,2011-10-20
Athersys,Biotechnology," 9,000,002 ",ipo,USA,OH,Cleveland,Cleveland,1,1995,2012-03-23,2012-03-23
Avistar Communications,Software|Video Conferencing," 3,000,000 ",operating,USA,CA,SF Bay Area,San Mateo,1,1995,2011-04-07,2011-04-07
Basis Technology,Analytics|Language Learning|Search|Software|Text Analytics," 7,500,000 ",operating,USA,MA,Boston,Cambridge,2,1995,2001-04-10,2004-03-01
Best Money Decisions,Finance|Venture Capital," 1,200,000 ",operating,USA,PA,Philadelphia,Chadds Ford,1,1995,2014-04-24,2014-04-24
BiTMICRO Networks Inc,Semiconductors," 31,400,000 ",operating,USA,CA,SF Bay Area,Fremont,2,1995,2007-01-01,2007-09-11
"BrainStorm, Inc.",Information Technology|SaaS|Training," 6,400,000 ",operating,USA,UT,Salt Lake City,American Fork,1,1995,2015-12-03,2015-12-03
BravoSolution,Software," 8,080,000 ",operating,USA,PA,Philadelphia,Malvern,2,1995,2005-08-16,2007-06-01
Calabrio,Software," 8,000,000 ",operating,USA,MN,Minneapolis,Minneapolis,1,1995,2007-11-27,2007-11-27
CHARLES & COLVARD LTD,Manufacturing," 10,000,000 ",ipo,USA,NC,Raleigh,Morrisville,1,1995,2014-06-30,2014-06-30
Chase Medical,Health Care," 8,790,112 ",operating,USA,TX,Dallas,Richardson,2,1995,2009-07-24,2010-03-11
Circadence,E-Commerce," 2,225,000 ",operating,USA,CO,Denver,Boulder,1,1995,2012-05-17,2012-05-17
ComponentSource,," 12,000,000 ",operating,USA,GA,Atlanta,Woodstock,1,1995,1999-11-02,1999-11-02
Conisus,Health Care," 46,500,000 ",operating,USA,GA,Atlanta,Atlanta,1,1995,2013-01-08,2013-01-08
Craigslist,Curated Web," 13,500,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1995,2004-08-14,2004-08-14
CROSSROADS SYSTEMS,Analytics|Communications Infrastructure|Computers|Technology," 36,102,807 ",ipo,USA,TX,Austin,Austin,5,1995,2010-10-22,2014-04-14
DecisionPoint Systems,Software," 11,927,400 ",operating,USA,CA,"Orange County, California",Foothill Ranch,3,1995,2012-12-21,2013-11-14
DepoMed,Pharmaceuticals," 875,000,000 ",ipo,USA,CA,SF Bay Area,Newark,2,1995,2014-09-04,2015-03-13
eBay,All Markets|Auctions|Business Services|E-Commerce|Internet|Search," 6,700,000 ",ipo,USA,CA,SF Bay Area,San Jose,1,1995,1997-06-01,1997-06-01
ebridge,Curated Web," 2,500,000 ",operating,USA,CA,Los Angeles,Encino,1,1995,2010-09-30,2010-09-30
EdgeWave Inc.,Software," 21,445,695 ",operating,USA,CA,San Diego,San Diego,6,1995,2010-08-06,2014-12-17
Envoy Medical,Health Care," 19,378,591 ",operating,USA,MN,Minneapolis,Saint Paul,3,1995,2009-05-13,2010-05-05
Exact Sciences,Biotechnology|Health Diagnostics," 8,200,000 ",ipo,USA,WI,Madison,Madison,1,1995,2009-06-15,2009-06-15
ExploraMed,Health Care," 55,499,998 ",operating,USA,CA,SF Bay Area,Mountain View,4,1995,2008-04-29,2015-01-21
Foundations Recovery Network,Health and Wellness," 7,000,000 ",operating,USA,TN,Nashville,Brentwood,1,1995,2011-09-09,2011-09-09
FusionStorm,Software," 15,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,1,1995,2006-10-02,2006-10-02
GlobeImmune,Biotechnology," 120,456,440 ",ipo,USA,CO,Denver,Louisville,8,1995,2005-12-16,2014-03-12
Gourmet Boutique,Consumer Goods|Food Processing|Specialty Foods," 8,000,000 ",operating,USA,NY,New York City,Jamaica,1,1995,2008-01-09,2008-01-09
Granite Investment Group,Real Estate," 12,500,000 ",operating,USA,CA,Anaheim,Irvine,1,1995,2009-05-29,2009-05-29
Gryphon Networks,Enterprise Software," 7,000,000 ",operating,USA,MA,Boston,Norwood,1,1995,2010-01-15,2010-01-15
Helomics,Biotechnology|Health Diagnostics," 93,000,000 ",operating,USA,PA,Pittsburgh,Pittsburgh,3,1995,1998-04-01,2014-11-13
InfoReach,Enterprise Software|Risk Management|Software|Systems|Technology|Trading," 5,306,396 ",operating,USA,IL,Chicago,Chicago,1,1995,2014-02-13,2014-02-13
International Isotopes,Advertising," 9,824,900 ",operating,USA,ID,Idaho Falls,Idaho Falls,3,1995,2009-10-06,2012-08-07
Intradiem,Software," 13,199,258 ",operating,USA,GA,Atlanta,Alpharetta,4,1995,2013-05-16,2015-11-06
IPS Group,Manufacturing," 1,330,506 ",operating,USA,CA,San Diego,San Diego,1,1995,2009-08-05,2009-08-05
ISE Corporation,Manufacturing," 5,600,000 ",operating,USA,CA,San Diego,Poway,1,1995,2009-07-23,2009-07-23
J C Lads,Hardware + Software," 5,795,083 ",operating,USA,TX,Dallas,Lewisville,2,1995,2009-12-30,2013-08-28
LEAF Commercial Capital,Finance," 125,000,000 ",operating,USA,PA,Philadelphia,Philadelphia,2,1995,2011-11-23,2011-11-23
Leapfrog Online,Advertising|Business Intelligence," 30,000,000 ",operating,USA,IL,Chicago,Evanston,1,1995,2008-09-17,2008-09-17
Lexicon Pharmaceuticals,Biotechnology," 244,702,780 ",ipo,USA,TX,Houston,Houston,4,1995,2010-03-15,2014-12-12
Lighthouse eDiscovery,Consulting|Law Enforcement|Legal," 30,000,000 ",operating,USA,WA,Seattle,Seattle,1,1995,2015-02-12,2015-02-12
LivePerson,Software," 2,300,000 ",ipo,USA,NY,New York City,New York,1,1995,2012-06-28,2012-06-28
Lockheed Martin,Design|Security," 27,400,000 ",ipo,USA,MD,"Washington, D.C.",Bethesda,2,1995,2009-07-06,2010-11-22
MedPro,Biotechnology," 25,727,000 ",operating,USA,KY,Lexington,Lexington,2,1995,2010-09-08,2012-09-27
Micell Technologies,Biotechnology," 27,300,055 ",operating,USA,NC,Raleigh,Raleigh,4,1995,2007-07-12,2009-12-03
MicroMed Cardiovascular,Biotechnology," 11,021,503 ",operating,USA,TX,Houston,Houston,3,1995,2011-01-31,2011-12-13
Milestone Scientific,Biotechnology," 14,350,000 ",ipo,USA,NJ,Newark,Livingston,3,1995,2013-11-19,2015-07-06
Mindjet,Chat|Collaboration|Document Management|Software|Video Conferencing," 25,000,000 ",operating,USA,CA,SF Bay Area,San Francisco,2,1995,2005-05-03,2014-11-10
Motiva,Business Development|Enterprise Software|Technology," 21,500,000 ",operating,USA,CA,SF Bay Area,San Mateo,2,1995,2001-12-10,2002-11-15
Natural Dentist,Dental|Health Care|Medical," 12,643,989 ",operating,USA,MA,Boston,Medford,2,1995,2006-11-17,2009-07-23
