name,category_list,  funding_total_usd  ,status,country_code,state_code,region,city,funding_rounds,founded_year,first_funding_at,last_funding_at,,,founded_dummy
Network for Good,Nonprofits|SaaS|Social Fundraising,"10,000,000",operating,USA,DC,"Washington, D.C.",Washington,1,2001,01/01/14,01/01/14,,,2001
NewCross Technologies,Web Hosting,"8,450,000",operating,USA,WA,Seattle,Vancouver,2,2001,06/10/05,07/03/07,,,2001
NightHawk Radiology Services,Hospitals,"25,000,000",ipo,USA,ID,ID - Other,Coeur D'alene,1,2001,07/04/04,07/04/04,,,2001
Novacea,Biotechnology,"35,000,000",operating,USA,CA,SF Bay Area,San Francisco,1,2001,08/01/04,08/01/04,,,2001
Nucleonics,Biotechnology|Health Care|Medical,"49,200,000",operating,USA,PA,Philadelphia,Langhorne,1,2001,02/06/04,02/06/04,,,2001
Nuvilex,Biotechnology,"1,136,000",operating,USA,MD,"Washington, D.C.",Silver Spring,1,2001,27/12/13,27/12/13,,,2001
Oceana,Nonprofits,"3,040,000",operating,USA,DC,"Washington, D.C.",Washington,2,2001,20/02/14,01/06/14,,,2001
Ontuitive,Software,"6,000,000",operating,USA,DC,"Washington, D.C.",Washington,1,2001,17/03/11,17/03/11,,,2001
OutSystems,Application Platforms|Enterprise Application|Enterprise Software|Mobile|Mobile Enterprise|Mobile Software Tools|PaaS|Web Development,"6,131,311",operating,USA,GA,Atlanta,Atlanta,2,2001,08/03/05,21/06/07,,,2001
PanTerra Networks,Cloud Computing|Cloud Data Services|File Sharing|Flash Storage|SaaS|Software|Storage|Unifed Communications,"10,019,869",operating,USA,CA,SF Bay Area,Santa Clara,2,2001,18/04/07,01/03/10,,,2001
Patron Technology,Art|CRM|Enterprise Software|Music|Sports|Technology|Ticketing,"3,100,000",operating,USA,NY,New York City,New York,2,2001,08/04/11,01/07/12,,,2001
Pelikan Technologies,Biotechnology,"94,000,000",operating,USA,CA,SF Bay Area,Palo Alto,2,2001,06/12/07,01/01/09,,,2001
Pepex Biomedical,Diabetes|Health Care|Health Diagnostics|Medical,"10,201,670",operating,USA,MO,St. Louis,Saint Louis,2,2001,01/01/08,27/04/12,,,2001
Perquest,,"17,300,000",operating,USA,CA,SF Bay Area,Oakland,1,2001,23/07/07,23/07/07,,,2001
PharmaIN,Biotechnology,"1,500,000",operating,USA,WA,Seattle,Seattle,1,2001,16/05/14,16/05/14,,,2001
PharmAthene,Biotechnology,"19,300,000",ipo,USA,MD,Baltimore,Annapolis,1,2001,27/07/09,27/07/09,,,2001
PinnacleCare,Health and Wellness,"8,176,280",operating,USA,MD,Baltimore,Baltimore,1,2001,03/05/10,03/05/10,,,2001
PMW Technologies,Software,"56,990,480",operating,USA,SC,"Charleston, South Carolina",Charleston,7,2001,02/02/10,12/11/13,,,2001
PositiveID,Health Care|Health Diagnostics|Medical Devices,"1,912,996",ipo,USA,FL,Palm Beaches,Delray Beach,4,2001,01/03/12,01/03/14,,,2001
Premier Grocery,Groceries|Retail,"23,017,556",operating,USA,AZ,Phoenix,Phoenix,1,2001,01/10/09,01/10/09,,,2001
Privaris,Biometrics|Security,"29,132,871",operating,USA,VA,"Washington, D.C.",Charlottesville,7,2001,01/11/05,14/04/11,,,2001
Protea Biosciences Group,Biotechnology,"9,886,028",operating,USA,WV,WV - Other,Morgantown,8,2001,12/08/09,05/06/15,,,2001
Proteon Therapeutics,Biotechnology,"126,538,660",ipo,USA,MA,Boston,Waltham,5,2001,06/09/07,16/05/14,,,2001
Proteus Digital Health,Biotechnology|Health Care|Mobile|Software,"315,349,979",operating,USA,CA,SF Bay Area,Redwood City,10,2001,01/05/01,02/06/14,,,2001
Proteus Industries,Hospitality,"1,897,428",operating,USA,MA,Boston,Gloucester,2,2001,14/11/08,17/04/14,,,2001
Racemi,Software,"28,300,000",operating,USA,GA,Atlanta,Atlanta,5,2001,01/11/05,01/07/14,,,2001
Radisphere Radiology,Biotechnology|Image Recognition,"42,500,005",operating,USA,CT,Hartford,Westport,2,2001,16/11/10,19/03/12,,,2001
Rage Frameworks,Enterprise Software,"15,000,000",operating,USA,MA,Boston,Westwood,1,2001,28/10/13,28/10/13,,,2001
RE2,Defense,"2,250,000",operating,USA,PA,Pittsburgh,Pittsburgh,2,2001,29/01/14,18/08/14,,,2001
Reach Unlimited Corporation,Public Transportation,"1,620,000",operating,USA,CA,San Diego,San Diego,1,2001,14/04/09,14/04/09,,,2001
Reactive NanoTechnologies,Advanced Materials,"14,300,000",operating,USA,MD,Baltimore,Hunt Valley,1,2001,14/06/07,14/06/07,,,2001
Realvu Inc,Curated Web,"15,208,936",operating,USA,FL,Miami,Miami Beach,5,2001,10/02/02,16/12/13,,,2001
RedVision System,Analytics,"11,800,000",operating,USA,NJ,Newark,Parsippany,3,2001,01/11/03,13/11/13,,,2001
Reflect Systems,Digital Signage|Enterprises|News|Retail|Software,"9,000,000",operating,USA,TX,Dallas,Dallas,1,2001,21/03/05,21/03/05,,,2001
Reflexion Network Solutions,Security,"2,750,000",operating,USA,MA,Boston,Woburn,1,2001,14/11/05,14/11/05,,,2001
Reflexis Systems,Enterprise Software|Retail|Software,"72,700,000",operating,USA,MA,Boston,Dedham,4,2001,19/07/06,07/01/14,,,2001
Regado Biosciences,Biotechnology|Health Care,"177,000,000",ipo,USA,NC,Raleigh,Durham,5,2001,27/03/07,31/01/14,,,2001
RemitDATA,Analytics,"8,500,100",operating,USA,TN,Memphis,Memphis,3,2001,06/04/11,17/08/15,,,2001
RemitPro,Software,"2,500,000",operating,USA,NE,Omaha,Omaha,1,2001,28/04/06,28/04/06,,,2001
Resolvyx Pharmaceuticals,Biotechnology,"20,700,000",operating,USA,MA,Boston,Cambridge,3,2001,02/12/05,09/11/10,,,2001
Revision Military,Hardware + Software,"12,000,000",operating,USA,VT,VT - Other,Essex Junction,1,2001,24/05/13,24/05/13,,,2001
Revivio,Software,"25,000,000",operating,USA,MA,Boston,Lexington,1,2001,18/01/05,18/01/05,,,2001
Rhapsody,Music,"10,000,000",operating,USA,WA,Seattle,Seattle,3,2001,17/09/13,08/05/15,,,2001
RightAnswers,Software,"2,300,000",operating,USA,NJ,Newark,Clark,1,2001,17/10/05,17/10/05,,,2001
RigNet,Public Relations|Telecommunications,"6,000,000",ipo,USA,TX,Houston,Houston,1,2001,05/07/05,05/07/05,,,2001
Riverchase Dermatology and Cosmetic Surgery,Health Care,"33,620,000",operating,USA,FL,"Naples, Florida",Naples,1,2001,07/01/13,07/01/13,,,2001
Road 9,Design|Networking|Telecommunications,"4,750,000",operating,USA,CO,Denver,Greenwood Village,1,2001,30/01/08,30/01/08,,,2001
SBA Materials,Electronics|Manufacturing|Semiconductors|Technology,"29,872,425",operating,USA,NM,Albuquerque,Albuquerque,7,2001,06/01/10,13/06/14,,,2001
Scimetrika,Health and Wellness,"40,000,000",operating,USA,NC,Raleigh,Durham,1,2001,30/09/13,30/09/13,,,2001
Selventa,Biotechnology|Health Diagnostics,"12,000,000",operating,USA,MA,Boston,Cambridge,3,2001,08/09/03,29/11/11,,,2001
Send Word Now,Messaging,"33,000,000",operating,USA,NY,New York City,New York,3,2001,07/08/06,29/09/08,,,2001
Serveron,Hardware + Software,"24,500,000",operating,USA,OR,"Portland, Oregon",Hillsboro,3,2001,22/06/01,22/03/07,,,2001
Seven10 Storage Software,Data Security|Software,"1,300,000",operating,USA,MA,Boston,Lawrence,1,2001,09/09/09,09/09/09,,,2001
Silego Technology,Semiconductors,"5,750,000",operating,USA,CA,SF Bay Area,Santa Clara,4,2001,15/11/01,22/06/10,,,2001
Single Touch Systems,Mobile,"11,169,005",operating,USA,CA,San Diego,Encinitas,3,2001,09/07/10,11/10/12,,,2001
Sittercity,Curated Web,"48,100,000",operating,USA,IL,Chicago,Chicago,5,2001,30/01/09,03/12/13,,,2001
SkillSurvey,Employment|Enterprise Software|Human Resources,"1,800,000",operating,USA,PA,Philadelphia,Wayne,2,2001,05/05/08,03/12/14,,,2001
SmartEquip,Construction|Manufacturing|Procurement|Services,"20,690,000",operating,USA,CT,Hartford,Norwalk,2,2001,11/08/08,19/01/10,,,2001
Smart Furniture,Curated Web|Furniture|Home & Garden,"8,660,000",operating,USA,TN,Chattanooga,Chattanooga,6,2001,27/08/04,21/05/14,,,2001
Snapbridge Software,Software,"9,550,000",operating,USA,CA,San Diego,Carlsbad,2,2001,07/02/03,17/11/05,,,2001
Somanta Pharmaceuticals,Biotechnology,"4,920,000",operating,USA,CA,Anaheim,Irvine,2,2001,22/08/05,31/01/06,,,2001
Sonivate Medical,Biotechnology|Medical,"1,015,000",operating,USA,OR,"Portland, Oregon",Beaverton,4,2001,07/02/11,13/05/14,,,2001
Sound Pharmaceuticals,Biotechnology|Health and Wellness|Health Care|Healthcare Services,"16,815,105",operating,USA,WA,Seattle,Seattle,3,2001,17/12/12,19/08/15,,,2001
Southwest Nanotechnologies,Nanotechnology,"5,700,000",operating,USA,OK,Oklahoma City,Norman,8,2001,07/07/09,09/08/14,,,2001
Sparkfly,Consumers|Loyalty Programs|Mobile|Promotional|Sales and Marketing|Social Media|Transportation,"2,500,000",operating,USA,GA,Atlanta,Atlanta,1,2001,27/04/11,27/04/11,,,2001
Spine Wave,Health Care,"62,500,000",operating,USA,CT,Hartford,Shelton,2,2001,11/04/07,02/02/11,,,2001
StarChase,Hardware + Software,"3,220,000",operating,USA,VA,Norfolk - Virginia Beach,Virginia Beach,2,2001,16/07/09,06/01/11,,,2001
Stat Doctors,Doctors|Healthcare Services|Medical,"5,850,000",operating,USA,AZ,Phoenix,Scottsdale,4,2001,12/05/10,13/03/14,,,2001
Synacor,Advertising Platforms|Email|Identity Management|Internet TV|Mobile Software Tools|Portals|Software,"17,000,000",ipo,USA,NY,Buffalo,Buffalo,2,2001,12/02/04,24/10/06,,,2001
SynergEyes,Health and Wellness,"18,962,157",operating,USA,CA,San Diego,Carlsbad,3,2001,30/03/11,16/01/15,,,2001
Synthetic Biologics,Biotechnology,"16,103,380",operating,USA,MD,"Washington, D.C.",Rockville,2,2001,06/11/12,23/09/13,,,2001
Sypherlink,Software,"7,000,000",operating,USA,OH,"Columbus, Ohio",Dublin,2,2001,28/06/05,01/08/07,,,2001
TAGSYS RFID Group,Software,"73,884,800",operating,USA,PA,Philadelphia,King Of Prussia,4,2001,18/04/05,25/03/10,,,2001
TAZZ Networks,Software,"6,000,000",operating,USA,RI,Providence,Providence,1,2001,01/04/05,01/04/05,,,2001
TeamLINKS,Biotechnology|Medical,"2,238,920",operating,USA,AR,Fayetteville,Fayetteville,2,2001,23/07/09,13/01/10,,,2001
Tectura,Software,"10,000,000",operating,USA,CA,SF Bay Area,Redwood City,1,2001,26/05/05,26/05/05,,,2001
Telogis,Enterprises|Enterprise Software|Fleet Management|Gps|Navigation|SaaS|Software|Transportation,"120,000,000",operating,USA,CA,Anaheim,Aliso Viejo,5,2001,03/04/09,18/05/15,,,2001
TensorComm,Web Hosting,"7,000,000",operating,USA,CO,Denver,Westminster,1,2001,31/05/05,31/05/05,,,2001
Think Finance,Finance|FinTech|Personal Finance,"90,000,000",operating,USA,TX,Dallas,Fort Worth,2,2001,21/11/05,23/09/10,,,2001
Three Rings,Games,"7,000,000",operating,USA,CA,SF Bay Area,San Francisco,2,2001,01/01/07,03/03/08,,,2001
Three Stage Media,Advertising,"22,500,000",operating,USA,MD,Baltimore,Columbia,2,2001,13/02/06,27/11/07,,,2001
Threshold Pharmaceuticals,Biotechnology|Health and Wellness|Health Care,"96,000,000",ipo,USA,CA,SF Bay Area,South San Francisco,3,2001,14/01/04,11/04/12,,,2001
TimeLab,Semiconductors,"7,500,000",operating,USA,MA,Boston,Andover,1,2001,01/01/05,01/01/05,,,2001
Tissue Genesis,Biotechnology,"13,939,309",operating,USA,HI,Honolulu,Honolulu,4,2001,22/04/10,03/09/14,,,2001
Tissuetech,Biotechnology|Health Care|Medical,"37,790,000",operating,USA,FL,Miami,Miami,5,2001,15/10/12,24/06/15,,,2001
Tradescape,Software,"7,634,742",operating,USA,CA,SF Bay Area,San Mateo,3,2001,18/06/07,13/08/13,,,2001
Trading Blox,Software,"1,800,000",operating,USA,FL,Florida's Treasure Coast,Stuart,1,2001,08/11/11,08/11/11,,,2001
Trianz,Application Platforms|Big Data|Business Intelligence|Cloud Infrastructure|Consulting|Enterprise Application|Enterprise Software|Information Security|IT Management|Testing,"14,000,000",operating,USA,CA,SF Bay Area,Santa Clara,1,2001,17/01/07,17/01/07,,,2001
Tribotek,Manufacturing,"15,980,000",operating,USA,MA,Boston,Burlington,2,2001,19/08/05,24/09/07,,,2001
Trig Medical,Health and Wellness,"4,085,740",operating,USA,NJ,Newark,Tenafly,1,2001,07/08/09,07/08/09,,,2001
United Information Technology,Enterprise Software,"10,500,000",operating,USA,CA,SF Bay Area,Santa Clara,1,2001,01/11/06,01/11/06,,,2001
Upstream,Advertising|App Marketing|Gamification|Internet Marketing|Mobile|Sales and Marketing,"15,291,100",operating,USA,CA,SF Bay Area,Redwood City,1,2001,27/05/09,27/05/09,,,2001
USGI Medical,Health Care,"45,048,169",operating,USA,CA,Anaheim,San Clemente,3,2001,25/05/12,26/01/15,,,2001
Valere Power,Energy,"17,000,000",operating,USA,TX,Dallas,Richardson,1,2001,20/08/03,20/08/03,,,2001
Vascular Therapies,Biotechnology,"26,923,891",operating,USA,NJ,Newark,Cresskill,6,2001,25/04/11,19/02/15,,,2001
Vayusa,Mobile,"10,000,000",operating,USA,MA,Boston,Watertown,1,2001,20/03/06,20/03/06,,,2001
VBI Vaccines,Biotechnology,"32,393,693",ipo,USA,MA,Boston,Cambridge,10,2001,17/11/10,26/08/15,,,2001
Velti,App Marketing|Mobile,"32,034,118",ipo,USA,CA,SF Bay Area,San Francisco,3,2001,01/06/09,08/05/13,,,2001
Verdiem,Clean Technology|Enterprise Software|Software,"16,542,968",operating,USA,WA,Seattle,Seattle,4,2001,22/08/05,04/01/10,,,2001
Verge Solutions,Health Care,"8,745,000",operating,USA,SC,"Charleston, South Carolina",Mount Pleasant,2,2001,28/04/08,22/12/10,,,2001
Vermont Genetics Network,Education,"17,800,000",operating,USA,VT,Montpelier,Burlington,1,2001,12/06/15,12/06/15,,,2001
Veros Systems,Enterprise Software,"17,500,000",operating,USA,TX,Austin,College Station,4,2001,01/08/12,02/07/14,,,2001
Vestaron Corporation,Biotechnology,"24,200,000",operating,USA,MI,Kalamazoo,Kalamazoo,4,2001,29/10/07,28/10/14,,,2001
Vestmark,Software,"1,700,000",operating,USA,MA,Boston,Wakefield,1,2001,08/06/09,08/06/09,,,2001
Viamedia,Advertising,"40,000,000",operating,USA,KY,Lexington,Lexington,2,2001,18/12/13,12/10/15,,,2001
Visage Mobile,Enterprise Software,"23,950,000",operating,USA,CA,SF Bay Area,Larkspur,5,2001,19/06/07,19/09/13,,,2001
Visicon Technologies,Medical Devices|Software|Test and Measurement,"2,102,000",operating,USA,CA,Napa Valley,Napa,2,2001,01/07/12,25/11/14,,,2001
VisionGate,Biotechnology,"14,229,706",operating,USA,AZ,Phoenix,Phoenix,5,2001,10/04/09,23/09/15,,,2001
VM Discovery,Biotechnology,"13,570,000",operating,USA,CA,SF Bay Area,Fremont,2,2001,03/01/06,23/07/14,,,2001
VoiceBox Technologies,Automotive|Home Automation|Mobile|Mobile Commerce|Software|Speech Recognition,"13,536,110",operating,USA,WA,Seattle,Bellevue,2,2001,14/12/09,30/12/10,,,2001
Voltari,Ad Targeting|Advertising|Analytics|Big Data|Machine Learning|Mobile|Predictive Analytics|Real Time|Sales and Marketing,"323,834,120",ipo,USA,NY,New York City,New York,6,2001,01/01/01,02/01/08,,,2001
Vonage,Mobile|Telecommunications,"460,000,000",ipo,USA,NJ,Newark,Holmdel,3,2001,26/11/03,13/08/14,,,2001
VuCOMP,Health Care,"22,356,219",operating,USA,TX,Dallas,Plano,5,2001,09/08/11,10/12/14,,,2001
WealthTouch,Software,"12,805,001",operating,USA,CO,Denver,Denver,3,2001,27/04/09,22/01/14,,,2001
WhiteHat Security,Security,"49,900,000",operating,USA,CA,SF Bay Area,Santa Clara,5,2001,27/06/06,05/02/13,,,2001
Workfront,Enterprises|Enterprise Software|Project Management|SaaS,"95,000,000",operating,USA,UT,Salt Lake City,Lehi,4,2001,03/06/07,05/08/15,,,2001
Xambala,Finance,"65,548,214",operating,USA,CA,SF Bay Area,Sunnyvale,7,2001,30/06/04,05/06/14,,,2001
Xceive,Semiconductors,"50,983,427",operating,USA,CA,SF Bay Area,Santa Clara,6,2001,27/01/04,16/06/11,,,2001
XOJET,Public Transportation,"153,450,218",operating,USA,CA,SF Bay Area,San Carlos,2,2001,26/09/07,16/12/09,,,2001
ZeOmega,Health Care Information Technology,"21,500,000",operating,USA,TX,Dallas,Frisco,1,2001,04/09/13,04/09/13,,,2001
Zinio,Digital Media|News|Publishing,"35,400,000",operating,USA,CA,SF Bay Area,San Francisco,3,2001,24/09/02,23/11/11,,,2001
Zonar Systems,Task Management|Tracking,"50,000,000",operating,USA,WA,Seattle,Seattle,1,2001,08/07/15,08/07/15,,,2001
1Life Healthcare,Health and Wellness|Health Care|Services,"30,000,000",operating,USA,CA,SF Bay Area,San Francisco,1,2002,21/03/13,21/03/13,,,2002
3VR,Security,"64,567,194",operating,USA,CA,SF Bay Area,San Francisco,7,2002,17/01/06,13/01/15,,,2002
Above All Software,Software,"13,600,000",operating,USA,CA,SF Bay Area,Redwood City,2,2002,17/02/04,01/06/05,,,2002
Acccess Technology Solutions,E-Commerce,"25,478,613",operating,USA,UT,Salt Lake City,Provo,1,2002,20/08/14,20/08/14,,,2002
Accipiter Systems,Analytics,"4,979,639",operating,USA,PA,Pittsburgh,Wexford,4,2002,29/02/12,02/01/14,,,2002
ACEA BIO,Biotechnology,"30,000,000",operating,USA,CA,San Diego,San Diego,1,2002,09/11/15,09/11/15,,,2002
ACTIV Financial Systems,Software,"25,000,000",operating,USA,IL,Chicago,Chicago,1,2002,20/01/10,20/01/10,,,2002
Adesso Solutions,Software,"6,000,000",operating,USA,IL,Chicago,Rolling Meadows,1,2002,25/10/10,25/10/10,,,2002
AdmitOne Security,Security,"19,000,000",operating,USA,WA,Seattle,Issaquah,2,2002,09/11/05,08/01/08,,,2002
Advaxis,Biotechnology,"98,537,423",ipo,USA,NJ,Newark,Princeton,8,2002,01/10/09,26/08/15,,,2002
AeroGrow International,Direct Sales|Home & Garden|Wholesale,"13,000,341",operating,USA,CO,Denver,Boulder,2,2002,12/03/10,10/07/15,,,2002
Affinity Circles,Alumni|Career Management|Social Recruiting|Software,"5,540,000",operating,USA,CA,SF Bay Area,Sunnyvale,3,2002,01/12/04,01/05/06,,,2002
Agrivida,Biotechnology,"43,898,233",operating,USA,MA,Boston,Cambridge,7,2002,22/11/06,18/08/15,,,2002
AirTight Networks,Security|Wireless,"59,450,091",operating,USA,CA,SF Bay Area,Mountain View,7,2002,15/11/04,06/10/15,,,2002
AirWalk Communications,Mobile,"46,999,996",operating,USA,TX,Dallas,Richardson,6,2002,16/10/06,25/07/11,,,2002
Aldera,Finance|Health Care,"14,000,000",operating,USA,NY,NY - Other,Lisle,1,2002,05/06/13,05/06/13,,,2002
Alert Logic,Cloud Security|Network Security|Security,"51,311,845",operating,USA,TX,Houston,Houston,8,2002,19/09/05,20/08/13,,,2002
Alliance Health Networks,Health Care,"14,300,000",operating,USA,UT,Salt Lake City,Logan,2,2002,16/09/09,01/06/11,,,2002
Altor BioScience,Biotechnology,"56,276,492",operating,USA,FL,Pensacola,Miramar Beach,8,2002,25/04/07,01/06/15,,,2002
Amicus Therapeutics,Biotechnology|Health Care,"105,866,943",ipo,USA,NJ,Newark,Cranbury,5,2002,13/05/04,31/12/13,,,2002
Analogix Semiconductor,Semiconductors,"39,400,000",operating,USA,CA,SF Bay Area,Santa Clara,3,2002,30/06/05,17/08/09,,,2002
Ansata Therapeutics,Biotechnology,"2,500,000",operating,USA,CA,San Diego,La Jolla,1,2002,02/04/03,02/04/03,,,2002
Aptus Endosystems,Health Care,"40,000,000",operating,USA,CA,SF Bay Area,Sunnyvale,2,2002,30/08/10,27/06/12,,,2002
Arcadia Biosciences,Biotechnology,"101,000,000",ipo,USA,CA,Sacramento,Davis,5,2002,15/06/05,08/05/14,,,2002
Ardmore Regional Surgery Center,Health and Wellness,"2,900,150",operating,USA,OK,OK - Other,Ardmore,1,2002,07/12/11,07/12/11,,,2002
Arrayent,Software,"29,638,309",operating,USA,CA,SF Bay Area,Redwood City,5,2002,01/12/09,22/09/15,,,2002
Arrowsight,Manufacturing,"6,750,000",operating,USA,NY,New York City,Mount Kisco,1,2002,11/11/09,11/11/09,,,2002
Arthrosurface,Biotechnology,"10,500,000",operating,USA,MA,Boston,Franklin,1,2002,11/02/05,11/02/05,,,2002
Artimi,Semiconductors,"58,000,000",operating,USA,CA,SF Bay Area,Mountain View,2,2002,11/12/06,21/03/07,,,2002
Asmacure Lt_e,Biotechnology,"16,925,741",operating,USA,TN,TN - Other,Quebeck,3,2002,10/05/07,18/05/11,,,2002
Auxeris Therapeutics,Bio-Pharm,"1,600,000",operating,USA,MO,St. Louis,St Louis,1,2002,09/01/04,09/01/04,,,2002
Avera Pharmaceutical,Biotechnology,"48,000,000",operating,USA,CA,San Diego,Carlsbad,1,2002,05/08/04,05/08/04,,,2002
Awarepoint,Software,"60,000,000",operating,USA,CA,San Diego,San Diego,4,2002,17/02/10,04/06/12,,,2002
Axis Three,Health Care,"4,970,000",operating,USA,MA,Boston,Boston,2,2002,04/04/06,20/06/09,,,2002
AxoGen,Biotechnology,"69,919,779",ipo,USA,FL,Gainesville,Alachua,7,2002,17/12/07,28/08/15,,,2002
Azimuth Systems,Telecommunications|Test and Measurement,"30,900,000",operating,USA,MA,Boston,Acton,3,2002,10/11/03,12/12/06,,,2002
Azul Systems,Software,"82,230,000",operating,USA,CA,SF Bay Area,Sunnyvale,2,2002,01/10/05,13/09/07,,,2002
Backyard Broadcasting Holdings,Broadcasting,"20,000,000",operating,USA,MD,Baltimore,Baltimore,1,2002,13/01/04,13/01/04,,,2002
Banyan Biomarkers,Biotechnology,"9,808,144",operating,USA,FL,Gainesville,Alachua,3,2002,20/06/13,18/03/15,,,2002
Baxano Surgical,Hardware + Software|Health Care|Medical,"10,000,000",ipo,USA,NC,Raleigh,Raleigh,1,2002,13/03/14,13/03/14,,,2002
BigTime Software,Software,"3,113,168",operating,USA,IL,Chicago,Chicago,2,2002,03/10/11,05/06/14,,,2002
BioDigital,Biotechnology,"4,450,000",operating,USA,NY,New York City,New York,2,2002,06/08/10,24/09/13,,,2002
Bioscale,Biotechnology|Health Diagnostics|Life Sciences,"74,639,282",operating,USA,MA,Boston,Lexington,6,2002,31/12/07,09/07/13,,,2002
BioScriptRx,Software,"3,000,000",operating,USA,FL,Ft. Lauderdale,Fort Lauderdale,1,2002,06/04/15,06/04/15,,,2002
Biospect,Technology,"27,000,000",operating,USA,CA,SF Bay Area,South San Francisco,1,2002,21/10/03,21/10/03,,,2002
Biostorage Technologies,Biotechnology,"8,320,000",operating,USA,IN,Indianapolis,Indianapolis,2,2002,10/01/07,29/05/07,,,2002
BioSurplus,Biotechnology|Infrastructure|Life Sciences,"3,900,000",operating,USA,CA,San Diego,San Diego,2,2002,11/05/12,17/07/12,,,2002
Birchstreet Systems,Software,"1,268,376",operating,USA,CA,Anaheim,Newport Beach,2,2002,25/03/09,23/04/09,,,2002
Black Duck Software,Open Source|Software|Software Compliance,"75,500,000",operating,USA,MA,Boston,Burlington,8,2002,26/07/04,20/05/15,,,2002
Blue Bottle Coffee,Coffee|E-Commerce,"115,700,000",operating,USA,CA,SF Bay Area,Oakland,3,2002,01/01/12,04/06/15,,,2002
BlueOSS,Telecommunications,"1,024,999",operating,USA,MD,Baltimore,Annapolis,1,2002,20/10/14,20/10/14,,,2002
BlueSnap,E-Commerce|Payments,"183,000,000",operating,USA,MA,Boston,Waltham,3,2002,07/07/08,04/11/14,,,2002
Brammo,Automotive|Batteries|Clean Technology|Energy,"66,000,000",operating,USA,OR,Medford,Ashland,5,2002,22/09/10,25/09/14,,,2002
BrightTALK,Advertising|Lead Generation|Semantic Web|Software|Video|Video Streaming,"20,500,000",operating,USA,CA,SF Bay Area,San Francisco,1,2002,27/09/11,27/09/11,,,2002
Bright View Technologies,Hardware + Software,"26,500,000",operating,USA,NC,Raleigh,Morrisville,3,2002,01/01/06,22/04/09,,,2002
Broadcast Pix,Broadcasting|Software,"3,122,503",operating,USA,MA,Boston,Billerica,4,2002,15/03/11,28/01/14,,,2002
Bulldog Solutions,Advertising,"5,000,000",operating,USA,TX,Austin,Austin,1,2002,22/03/07,22/03/07,,,2002
Bungee Labs,Software,"23,470,000",operating,USA,UT,Salt Lake City,Orem,3,2002,02/09/05,14/03/08,,,2002
CallMiner,Enterprise Software,"72,110,889",operating,USA,FL,Fort Myers,Fort Myers,11,2002,05/08/04,15/09/15,,,2002
Cambrios Technologies,Nanotechnology,"62,620,022",operating,USA,CA,SF Bay Area,Sunnyvale,8,2002,05/08/04,03/06/14,,,2002
Carbon Design Systems,Software,"38,850,000",operating,USA,MA,Boston,Acton,7,2002,14/01/04,12/09/12,,,2002
Cardiva Medical,Health Care,"32,930,335",operating,USA,CA,SF Bay Area,Sunnyvale,3,2002,19/03/13,12/08/14,,,2002
Casenet,Software,"39,064,207",operating,USA,MA,Boston,Bedford,7,2002,13/11/07,12/01/12,,,2002
CBRITE,Hardware + Software,"23,101,276",operating,USA,CA,Santa Barbara,Goleta,4,2002,27/03/09,05/05/15,,,2002
Centage Corporation,Software,"9,500,000",operating,USA,MA,Boston,Natick,1,2002,24/09/14,24/09/14,,,2002
Chimerix,Biotechnology|Health Care,"256,400,000",ipo,USA,NC,Raleigh,Durham,7,2002,08/09/03,07/11/14,,,2002
ClariPhy Communications,Semiconductors,"92,910,870",operating,USA,CA,Anaheim,Irvine,9,2002,09/11/04,13/08/14,,,2002
CoalTek,Clean Technology,"33,750,000",operating,USA,MA,Boston,Chelmsford,2,2002,26/02/07,02/08/13,,,2002
Codexis,Biotechnology,"37,000,000",ipo,USA,CA,SF Bay Area,Redwood City,1,2002,14/08/06,14/08/06,,,2002
Collegium Pharmaceutical,Biotechnology,"103,000,002",ipo,USA,RI,Providence,Cumberland,6,2002,03/11/06,10/03/15,,,2002
Complete Solar,Clean Technology,"5,000,000",operating,USA,CA,SF Bay Area,San Mateo,2,2002,26/07/11,11/03/14,,,2002
Conceivex,Health Care,"2,550,000",operating,USA,MI,Detroit,Bloomfield Hills,1,2002,25/08/15,25/08/15,,,2002
ConnectEdu,EdTech|Education,"28,703,843",operating,USA,MA,Boston,Boston,5,2002,13/07/09,10/09/13,,,2002
ConnectYourCare,Health and Wellness|Health Care|Service Providers,"5,100,000",operating,USA,MD,Baltimore,Hunt Valley,1,2002,26/01/15,26/01/15,,,2002
Consolo Services Group,Hospitals,"12,600,000",operating,USA,KY,Lexington,Lexington,1,2002,21/07/15,21/07/15,,,2002
Contact Solutions,Software,"46,000,000",operating,USA,VA,"Washington, D.C.",Reston,1,2002,08/09/10,08/09/10,,,2002
CoVi Technologies,Security,"34,010,000",operating,USA,TX,Austin,Austin,3,2002,11/01/05,07/09/07,,,2002
Critical Media,Games|Video,"6,200,000",operating,USA,NY,New York City,New York,3,2002,01/01/04,01/01/06,,,2002
Crocs,Shoes,"200,000,000",ipo,USA,CO,CO - Other,Niwot,1,2002,31/12/13,31/12/13,,,2002
CrossCurrent,Software,"2,375,000",operating,USA,OR,"Portland, Oregon",Portland,2,2002,17/06/11,15/02/13,,,2002
Crystalplex,Biotechnology,"2,894,000",operating,USA,PA,Pittsburgh,Pittsburgh,6,2002,08/11/07,24/02/15,,,2002
